Frame number,1338
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.687752,59.8948,276.254,208.833,945.738,0,-1.39449,-58.9351,266.556,191.412,1449.11,0
0.005,0.401122,59.3717,273.843,208.331,945.661,0,-1.39222,-58.6275,266.635,190.908,1449.24,0
0.01,0.615563,59.9685,274.761,208.16,945.993,0,-1.42389,-59.368,268.616,192.489,1448.84,0
0.015,0.636205,59.9891,273.839,208.195,945.23,0,-1.0677,-58.8942,268.522,192.097,1449.77,0
0.02,0.737541,59.6597,272.745,207.342,946.012,0,-1.01318,-58.8058,268.803,193.12,1448.55,0
0.025,1.00806,59.562,273.426,207.126,945.757,0,-1.27058,-58.7768,269.475,193.2,1448.71,0
0.03,1.12502,59.7446,271.942,207.271,944.979,0,-1.62987,-58.248,269.938,194.753,1447.19,0
0.035,1.67707,59.4375,273.051,206.528,945.123,0,-1.62107,-58.4376,270.975,194.156,1448.46,0
0.04,1.62149,59.7451,271.928,206.38,944.817,0,-1.28759,-58.441,270.09,194.357,1447.71,0
0.045,2.02828,59.5022,272.005,205.962,944.763,0,-1.64182,-58.3461,271.439,195.203,1447.56,0
0.05,1.28736,59.8083,270.536,206.015,944.736,0,-1.72173,-58.5028,270.953,195.812,1447.7,0
0.055,1.64397,59.5143,271.903,204.863,944.81,0,-2.34652,-58.2506,271.843,195.925,1448.09,0
0.06,1.61375,59.4165,270.917,205.405,943.708,0,-2.02502,-58.3312,269.666,197.235,1446.22,0
0.065,1.85235,59.4112,271.17,205.244,943.657,0,-2.28205,-58.7419,271.805,196.303,1446.27,0
0.07,1.3701,59.6072,270.699,205.315,943.376,0,-2.26175,-58.4333,272.14,197.204,1446.04,0
0.075,1.58671,59.4556,268.992,205.101,944.354,0,-2.25704,-57.9228,271.71,198.128,1446.38,0
0.08,0.893291,59.0031,269.871,204.157,943.535,0,-2.38104,-58.1429,271.711,197.462,1447.39,0
0.085,1.10983,58.7773,268.249,204.906,944.274,0,-2.78162,-58.4366,271.342,198.318,1446.11,0
0.09,0.845215,58.4812,268.171,205.63,944.345,0,-2.78215,-58.6246,269.671,198.223,1446.31,0
0.095,1.01548,58.5053,267.842,205.191,944.837,0,-2.71078,-58.4642,269.764,199.395,1445.84,0
0.1,0.825401,58.8053,266.408,204.944,944.532,0,-3.15738,-58.6162,269.244,199.615,1444.97,0
0.105,0.684904,58.5393,266.408,204.406,944.296,0,-2.59483,-58.9232,269.738,200.289,1444.62,0
0.11,1.0391,57.7637,263.927,205.188,944.06,0,-2.6969,-59.4232,271.47,200.154,1445.64,0
0.115,1.53755,58.2371,263.598,204.921,943.719,0,-2.70224,-59.3278,271.815,201.006,1444.12,0
0.12,1.18967,58.0364,264.977,204.745,943.977,0,-3.0589,-59.2425,273.316,201.175,1445.75,0
0.125,1.37632,58.1268,263.495,204.057,943.819,0,-2.70921,-59.4818,273.719,201.704,1444.69,0
0.13,1.37678,57.7074,265.978,204.293,944.022,0,-2.72112,-58.6592,274.056,201.344,1444.12,0
0.135,0.876002,57.9237,266.418,204.905,943.675,0,-2.63046,-59.2595,274.136,201.629,1445.1,0
0.14,1.45931,58.2167,263.934,204.357,944.348,0,-2.3879,-59.938,274.552,202.28,1444.12,0
0.145,0.768908,57.6546,263.799,204.097,944.817,0,-1.81607,-59.6591,273.856,201.928,1443.94,0
0.15,1.03407,57.6707,264.287,204.992,944.032,0,-2.60071,-60.0506,275.307,201.958,1444.05,0
0.155,0.348286,57.5372,261.615,204.862,944.241,0,-2.43654,-59.9722,276.702,202.015,1444.52,0
0.16,0.226112,57.5151,262.875,205.018,944.75,0,-2.16874,-59.9585,276.094,202.015,1444.9,0
0.165,0.258694,56.858,263.346,204.948,944.954,0,-2.32299,-60.1305,278.445,202.015,1444.88,0
0.17,0.0709954,57.3219,263.963,205.287,944.012,0,-2.76515,-60.0892,279.945,201.059,1444.11,0
0.175,-0.19563,56.8055,262.629,204.105,944.477,0,-2.18786,-60.0134,278.474,201.691,1444.2,0
0.18,0.346871,56.6103,263.976,204.514,944.292,0,-2.07155,-60.2507,278.512,201.924,1444.31,0
0.185,-0.0914484,56.5086,265.802,205.057,944.354,0,-1.64961,-60.4413,278.235,202.631,1443.49,0
0.19,-0.275276,57.2175,266.856,204.434,945.1,0,-2.09001,-59.9031,279.698,201.679,1444.07,0
0.195,-0.108641,56.4863,266.174,204.537,944.642,0,-2.15906,-60.7531,279.977,201.939,1443.14,0
0.2,-0.290213,56.5665,268.214,203.801,943.775,0,-2.2622,-60.3574,280.35,202.608,1444.37,0
0.205,-0.302146,56.9607,267.69,203.822,944.462,0,-1.67161,-59.881,279.678,202.527,1444.43,0
0.21,-0.816467,57.1569,267.613,203.709,944.831,0,-2.26849,-59.8104,278.674,202.648,1444.55,0
0.215,-0.254446,57.1826,268.364,203.414,945.622,0,-2.2662,-60.0374,278.924,201.848,1443.92,0
0.22,-0.0545585,57.0215,265.986,202.677,944.956,0,-2.00239,-59.7716,279.944,202.962,1444.03,0
0.225,-0.416328,57.1038,267.668,202.225,944.851,0,-2.2119,-59.0713,278.089,201.641,1442.97,0
0.23,-0.7556,57.2651,268.637,201.912,944.331,0,-2.14121,-59.1263,276.657,201.674,1442.62,0
0.235,0.101903,57.3057,269.785,201.24,944.353,0,-2.84268,-58.7188,278.788,201.832,1443.37,0
0.24,0.124505,57.0353,269.678,201.474,944.915,0,-2.8355,-58.3604,276.365,202.359,1442.67,0
0.245,0.0322706,57.2271,270.484,200.451,944.078,0,-2.39651,-58.2447,275.239,201.819,1442.8,0
0.25,-0.295152,56.7779,271.85,200.738,945.013,0,-2.66197,-57.6067,276.297,201.724,1442.75,0
0.255,0.585653,56.9684,270.518,199.68,945.267,0,-1.80395,-56.8476,274.735,201.592,1442.49,0
0.26,0.584319,57.2202,271.904,199.981,945.105,0,-1.98458,-56.5725,272.794,201.069,1442.11,0
0.265,1.19743,57.0036,271.986,199.055,945.825,0,-2.17486,-55.6033,271.406,202.303,1442.3,0
0.27,1.30646,56.903,274.434,199.422,945.464,0,-2.19457,-54.9301,269.406,201.214,1441.88,0
0.275,1.81803,56.8666,274.873,199.361,945.892,0,-2.7091,-54.4659,265.92,201.705,1441.51,0
0.28,1.81739,57.0249,274.189,198.697,945.598,0,-2.82681,-53.0525,262.14,201.813,1441.03,0
0.285,2.45964,57.2341,274.531,198.638,946.806,0,-2.59271,-52.2025,260.97,202.029,1440.87,0
0.29,2.36008,57.2359,274.515,198.665,947.147,0,-2.77633,-51.2169,259.468,202.701,1440.61,0
0.295,2.4485,56.4267,277.378,198.863,945.777,0,-3.08994,-50.007,257.579,201.45,1439.61,0
0.3,2.03934,56.5807,274.591,198.459,947.09,0,-3.74686,-48.331,253.508,202.734,1437.8,0
0.305,1.9406,56.0499,276.721,198.365,947.494,0,-3.95956,-47.766,252.384,202.722,1439.13,0
0.31,1.88603,55.5825,276.349,198.735,947.41,0,-4.85462,-46.7708,250.137,204.636,1437.32,0
0.315,1.33809,54.836,275.675,198.969,947.895,0,-5.26475,-45.0461,246.732,204.656,1437.83,0
0.32,0.830394,54.337,273.862,199.777,949.383,0,-5.55752,-43.6029,244.797,203.922,1436.76,0
0.325,-0.107493,53.1352,274.574,200.21,949.356,0,-6.28572,-42.1376,235.658,205.54,1435.57,0
0.33,-0.451556,51.9534,272.444,200.666,950.257,0,-6.4531,-40.7834,231.175,205.296,1434.48,0
0.335,-2.4517,50.265,267.739,200.435,950.023,0,-6.90996,-38.8834,223.762,204.86,1434.25,0
0.34,-2.62584,49.6793,266.304,201.8,951.129,0,-6.87472,-36.6109,219.255,205.701,1435.91,0
0.345,-4.05139,47.8948,258.274,201.85,952.474,0,-6.88006,-35.4089,212.146,205.16,1434.31,0
