Frame number,1698
First frame,1
Point frequency,200
Analog frequency,1000

Time,Moment.Mx2,Moment.My2,Moment.Mz2,Moment.Mx3,Moment.My3,Moment.Mz3
s,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm
0,-21441.7,-6588.29,1728.64,19698.7,-2767.67,483.512
0.001,-21281.5,-6611.44,1676.58,19788.7,-3061.91,482.744
0.002,-21199.7,-6770.39,1622.26,19608.8,-3044.56,484.64
0.003,-21298.5,-6728.24,1688.28,19442.3,-2901.14,514.636
0.004,-21307.4,-6616.61,1630.31,19594.1,-3073.64,594.885
0.005,-21458.6,-6587.52,1622.2,19639.1,-3149.16,550.466
0.006,-21412.4,-6600.8,1649.95,19583.9,-2901.56,466.248
0.007,-21518.3,-6727.9,1641.67,19561.5,-2914.64,468.079
0.008,-21481.8,-6674.09,1608.57,19506.1,-2987.5,479.504
0.009,-21221.2,-6689.65,1685.82,19412.5,-2886.16,456.893
0.01,-21407.6,-6609.89,1712.63,19632.5,-3038.3,548.468
0.011,-21225.5,-6797.69,1687.21,19601.6,-2802.98,579.86
0.012,-21499.3,-6630.48,1624.37,19625.5,-2970.64,398.946
0.013,-21069.6,-6582.61,1693.72,19469.3,-2893.8,496.002
0.014,-21310,-6554.41,1645.34,19389.8,-2951.57,450.723
0.015,-21386.9,-6878.87,1599.64,19574.9,-3027.25,498.509
0.016,-21216.5,-6677.19,1669.95,19524.8,-3039.12,485.96
0.017,-21381.1,-6445.46,1706.21,19496.5,-2839.74,493.999
0.018,-21152.8,-6510.06,1594.52,19735.5,-2987.56,436.099
0.019,-21217.4,-6484.81,1691.31,19813.4,-2997.52,506.096
0.02,-21375.4,-6691,1724.21,19612.1,-3081.85,394.841
0.021,-21304,-6752.32,1665.83,19532.9,-2803.09,454.676
0.022,-21430.5,-6376.64,1704.21,19584.9,-2961.61,538.45
0.023,-21450.6,-6564.76,1699.18,19636.6,-3063.51,512.587
0.024,-21494.5,-6628.51,1678.26,19721,-2855.34,427.343
0.025,-21461.7,-6530.22,1648.4,19675.7,-3015.2,432.326
0.026,-21252.6,-6450.87,1763.75,19747,-2925.85,485.506
0.027,-21456.5,-6555.66,1717.38,19605.2,-2844.07,475.833
0.028,-21595.9,-6490.39,1692.92,19820.4,-2991.07,410.403
0.029,-21473.6,-6473.46,1625.54,19745.4,-2997.71,434.834
0.03,-21322.6,-6461.64,1689.9,19721.4,-2898.08,498.735
0.031,-21267.6,-6610.76,1717.77,19584.1,-2789.5,465.879
0.032,-21537.5,-6427.99,1713.84,19691.7,-2865.44,474.856
0.033,-21421.4,-6569.42,1651.92,19373.1,-2696.23,421.001
0.034,-21266.7,-6457.92,1666.47,19407.8,-2717.28,522.232
0.035,-21375.4,-6657.38,1650.69,19680.7,-2911.12,504.625
0.036,-21248.4,-6571.97,1672.11,19530.8,-2968.51,516.624
0.037,-21352.6,-6545.57,1731.39,19682.5,-2957.64,463.544
0.038,-21406.2,-6703.94,1715.26,19564.5,-2930.84,469.62
0.039,-21155.6,-6460.61,1858.06,19591.5,-3053.86,513.875
0.04,-21231.4,-6475,1750.14,19658.4,-3149.87,583.773
0.041,-21297.7,-6744.18,1728.99,19534.1,-2903.13,458.161
0.042,-21440,-6542.14,1729.25,19621.8,-2836.26,408.801
0.043,-21430.2,-6324.02,1830.37,19587.4,-2796.25,431.318
0.044,-21273.6,-6547.66,1742.81,19673.2,-2868.1,462.77
0.045,-21584.4,-6318.28,1677.66,19672.3,-2857.99,454.824
0.046,-21317.2,-6555.14,1739.72,19914.1,-2897.13,368.904
0.047,-21549.3,-6382.4,1784.98,19643.6,-2914.48,391.268
0.048,-21246.2,-6563.44,1763.76,19400.7,-2989.57,400.475
0.049,-21299.5,-6404.87,1764.03,19678.2,-2995.81,482.052
0.05,-21403.5,-6378.27,1841.34,19689.7,-3014.08,450.971
0.051,-21519.2,-6449.01,1724.8,19808.6,-2995.9,496.127
0.052,-21472.8,-6424.75,1760.64,19607.7,-3057.86,433.041
0.053,-21394.9,-6513.98,1673.99,19520.8,-3012.57,487.655
0.054,-21450.3,-6418.28,1735.18,19590.7,-2860.23,495.63
0.055,-21536.3,-6352.11,1738.09,19719.1,-2774.09,455.249
0.056,-21506.7,-6498.26,1734.55,19660.9,-2790.92,528.578
0.057,-21259.7,-6674.53,1741.63,19891.2,-3046.87,391.185
0.058,-21492.4,-6350,1813.96,19909.8,-2840.22,429.561
0.059,-21500.5,-6284.14,1739.65,19548.5,-2992.83,474.56
0.06,-21339.7,-6235.09,1746.03,19384.9,-2826.64,562.38
0.061,-21363.1,-6368.85,1764.97,19475.2,-2962.25,536.387
0.062,-21171.5,-6358.12,1718.14,19872.2,-2855.4,478.383
0.063,-21517,-6312.86,1826.24,19790.4,-2818.59,427
0.064,-21355.1,-6238.98,1847.28,19845.8,-2911.8,430.983
0.065,-21468.4,-6411.92,1745.73,19973.6,-3046.25,486.992
0.066,-21299.6,-6377.93,1685,19788.1,-2983.95,532.688
0.067,-21439.9,-6203.84,1679.38,19942,-2810.97,602.934
0.068,-21488.7,-6498.65,1709.87,19981.7,-3073.27,464.699
0.069,-21565.3,-6369.51,1785.44,19961.1,-2916.57,464.53
0.07,-21458.6,-6461.72,1750.05,19836,-2952.56,469.362
0.071,-21582.7,-6296.89,1726.37,19871.7,-2898.8,517.648
0.072,-21480.1,-6331.62,1763.68,19706.9,-3207.12,472.979
0.073,-21451.2,-6193.56,1692.23,19691.3,-3083.15,387.181
0.074,-21514.3,-6342.34,1707.09,19712.5,-2902.32,554.776
0.075,-21366.7,-6284.38,1743.43,19725.3,-3043.39,498.278
0.076,-21274.6,-6356.94,1770.96,20188.1,-2879.43,459.445
0.077,-21546.4,-6447.53,1771.15,20141.4,-2851.76,435.556
0.078,-21282.2,-6310.64,1798.48,20107.9,-3078.16,394.032
