Frame number,1840
First frame,1
Point frequency,200
Analog frequency,1000

Time,Moment.Mx2,Moment.My2,Moment.Mz2,Moment.Mx3,Moment.My3,Moment.Mz3
s,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm
0.084,-39857.4,-11025.4,1400.94,16446.5,4806.3,-3757.35
0.085,-39908.2,-10955.1,1351.21,16567.1,4537.66,-3851.61
0.086,-40154.2,-11218.7,1381.64,16649.2,4494.48,-3720.74
0.087,-40056.7,-10985.9,1366.22,16349.3,4555.53,-3704.02
0.088,-40085.9,-11192.3,1436.19,16694.5,4520.83,-3786.55
0.089,-39789.2,-11225.1,1369.3,16286.1,4444.03,-3721.59
0.09,-39691.5,-11107,1369.45,16706,4336.45,-3586.89
0.091,-40005.6,-11173.3,1418.91,16596,4390,-3653.51
0.092,-39957.1,-11184.1,1263.99,16556.7,4588.33,-3618.26
0.093,-39962.9,-11090.4,1282.64,16743.6,4509.74,-3762.53
0.094,-39853.6,-11371.8,1350.7,16599.1,4226.41,-3602.76
0.095,-39933.5,-11298.4,1386.62,16646.3,4146.48,-3598.89
0.096,-40241.7,-11487.5,1311.7,16876.2,4309.26,-3583.18
0.097,-39893.2,-11224.1,1264.12,17069.6,4367.72,-3668.77
0.098,-40165.5,-11537.1,1178.07,16836.8,4098.14,-3554.12
0.099,-40162.1,-11544.4,1296.78,16558.6,4313.65,-3650.64
0.1,-40154.3,-11453.8,1228.95,16663.7,4240.03,-3474.42
0.101,-39943.8,-11662.2,1215.3,16962.7,4261.88,-3558.39
0.102,-39986.2,-11539.3,1213.32,16954.1,4249.8,-3645.16
0.103,-40142.2,-11635.5,1212.89,16650.7,4197.24,-3579.61
0.104,-39949.7,-11584.1,1148.59,16935.3,4110.96,-3552.48
0.105,-40153.8,-11651.7,1227.53,16651.6,3996.82,-3634.29
0.106,-40041.3,-11528.1,1093.48,16824.4,4086.03,-3572.78
0.107,-40239.7,-11728,1159.31,16806.7,3950.8,-3503.85
0.108,-39848.7,-11829.8,1232.23,16921.3,3824.43,-3498.31
0.109,-39929.5,-11646.5,1231.27,16799.4,3760.55,-3473.14
0.11,-40091.3,-11713.2,1176.79,16912.5,3872.63,-3499.39
0.111,-40154.1,-11880.8,1174.32,16857.7,4188.17,-3640.79
0.112,-40101.7,-11989.9,1090.32,17028.4,3962.03,-3608.82
0.113,-39683.1,-11915.3,1112.53,17108.9,3752.35,-3430.41
0.114,-40234.3,-11619.7,1156.46,17062.8,3843.85,-3686.21
0.115,-39742.1,-11805.5,993.47,16975.1,3958.59,-3628.99
0.116,-39870.6,-12052.8,1056.88,17138.7,3783.47,-3432.52
0.117,-39892.5,-12157.3,1040.59,17016.3,3709.65,-3469.38
0.118,-40091,-12113,1002.35,17185.5,3752.67,-3512.44
0.119,-40043.2,-11997.5,1088.57,17238,3900.6,-3560.63
0.12,-39823.2,-12052,954.426,16956.8,3548.05,-3464.33
0.121,-39744.5,-12115.4,905.118,17126.9,3757.84,-3386.46
0.122,-39895.8,-11939.7,849.032,17185.2,3661.75,-3591.12
0.123,-40180.4,-12220.4,948.311,17131.2,3710.5,-3362.92
0.124,-39802.5,-12211.5,954.593,17323,3752.29,-3446.11
0.125,-39742.5,-12247.9,904.503,17340.7,3528.33,-3459.03
0.126,-39637.2,-12351.1,868.124,17080.8,3662.91,-3466.87
0.127,-39947.7,-12127.1,934.275,17211,3626.59,-3380.23
0.128,-39644.2,-12197.4,869.914,17278.8,3432.92,-3433.57
0.129,-39926.2,-12201.2,847.684,17482.9,3575.97,-3375.43
0.13,-39521.8,-12242,885.714,17236.2,3498.26,-3416.93
0.131,-39733.2,-12384.9,814.369,17066.7,3493.8,-3438.92
0.132,-39864.5,-12226.5,847.464,17308.7,3384.86,-3474.22
0.133,-39841.9,-12077.5,867.742,17428.8,3665.8,-3442.51
0.134,-39783.6,-12177.1,847.624,17405.5,3818.16,-3364.62
0.135,-39990.9,-12424.3,896.615,17421.7,3293.46,-3383.27
0.136,-39801.9,-12116.2,796.119,17122.5,3390.3,-3306.77
0.137,-39534.9,-12545.2,796.169,17275.1,3259,-3447.34
0.138,-40030.1,-12340.2,794.111,17389.7,3455.78,-3455.75
0.139,-39788.7,-12254.9,848.679,17049.7,3615.87,-3483.17
0.14,-39567.8,-12256.3,697.248,17327.7,3594.31,-3313.68
0.141,-39632.4,-12383.4,796.032,17238.1,3579.35,-3396.14
0.142,-39982,-12312.5,760.83,17258.6,3491.84,-3477.58
0.143,-39674,-12376.5,709.455,17305.3,3661.48,-3442.81
0.144,-39803.7,-12502,759.795,17124.7,3447.76,-3309.56
0.145,-39826,-12436,863.893,17170.5,3535.07,-3311.37
0.146,-39620.7,-12547.5,693.715,17288.9,3271.38,-3340.31
0.147,-39739.3,-12649.6,793.398,17256.2,3356.48,-3408.66
0.148,-39769.3,-12547.7,777.804,17263.6,3202.52,-3361.05
0.149,-39940.1,-12523.1,740.855,17212.4,3456.53,-3330.01
0.15,-39662.3,-12508.4,778.391,17251.6,3308.95,-3323.43
0.151,-39710.5,-12787.3,743.11,17197.8,3304.23,-3407.98
0.152,-39662.5,-12578.8,791.207,17561.8,3192.03,-3212.88
0.153,-39708.6,-12491.9,724.937,17565.4,3471.68,-3283.82
0.154,-39867.8,-12455.4,758.509,17313.1,3038.94,-3333.25
0.155,-39557.3,-12709.3,607.853,17150.1,3209.76,-3236.47
0.156,-39773.5,-12682.4,740.119,17369.8,3110.17,-3250.34
0.157,-39605,-12619.7,759.337,17314.1,3222.46,-3319.23
0.158,-39636.4,-12738.7,778.311,17705.8,3348.66,-3257.85
0.159,-39617.4,-12534,743.408,17398.8,3237.88,-3212.15
0.16,-39756.5,-12566.1,706.603,17509.5,3115.84,-3187.4
0.161,-39535.3,-12726.5,776.57,17460.5,3185.61,-3106.37
