Frame number,1698
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,-3.29287,55.5118,295.531,220.326,975.436,0,-2.10658,-55.2472,270.234,210.07,1433.11,0
0.005,-3.31752,55.6812,296.506,220.321,975.259,0,-2.02443,-55.4509,270.649,211.46,1433.44,0
0.01,-3.37739,54.8391,293.195,220.575,975.894,0,-1.7847,-55.3114,270.432,211.088,1433.41,0
0.015,-3.36783,55.4192,293.113,221.509,975.846,0,-1.84793,-55.1095,268.182,211.098,1433.02,0
0.02,-3.00056,54.9332,294.359,220.776,975.51,0,-1.6173,-54.9316,271.093,211.119,1433.66,0
0.025,-3.4279,54.9843,294.72,220.251,975.702,0,-1.89497,-54.7387,270.71,210.912,1433.33,0
0.03,-3.03113,54.9386,295.625,219.968,975.023,0,-1.70622,-55.2325,270.438,210.559,1433.08,0
0.035,-3.21388,55.0791,295.224,220.642,975.293,0,-1.88736,-55.4713,270.22,210.605,1433.17,0
0.04,-2.99625,54.759,294.53,220.05,974.98,0,-2.00518,-54.9321,269.46,211.541,1433.05,0
0.045,-2.87207,54.4552,293.803,219.639,976.367,0,-2.11487,-55.3617,270.493,210.36,1433.28,0
0.05,-2.83126,54.9826,295.51,219.617,975.328,0,-2.02087,-54.9324,270.332,210.927,1433.17,0
0.055,-2.70439,54.8625,293.973,219.693,976.165,0,-2.08849,-55.0427,270.033,210.083,1432.98,0
0.06,-2.68445,54.9609,296.529,219.157,974.874,0,-2.20886,-55.2872,271.246,210.297,1434.54,0
0.065,-2.7697,54.9367,293.688,219.896,976.002,0,-2.23351,-55.2459,270.683,211.037,1432.22,0
0.07,-3.00048,55.1017,295.02,219.96,975.63,0,-2.35428,-55.038,270.532,210.694,1432.69,0
0.075,-2.23196,54.8111,295.036,219.43,975.344,0,-1.99354,-54.9401,270.196,211.071,1433,0
0.08,-2.63589,54.8549,296.244,219.232,974.944,0,-2.09914,-54.9109,268.919,211.504,1432.03,0
0.085,-2.21257,54.9658,294.87,219.188,975.919,0,-2.48779,-54.7584,269.821,211.413,1432.36,0
0.09,-1.90341,54.982,294.51,219.487,974.786,0,-2.28709,-54.8633,272.272,212.073,1432.38,0
0.095,-2.8179,55.0467,292.795,219.134,976.573,0,-2.14078,-55.4764,271.788,209.955,1432.81,0
0.1,-2.29254,54.9732,293.118,218.985,976.24,0,-1.98252,-54.9234,269.13,211.043,1431.58,0
0.105,-2.55738,54.5319,296.634,218.922,974.812,0,-1.53194,-54.8238,269.292,211.493,1432.61,0
0.11,-2.33139,54.8783,294.012,219.358,975.344,0,-1.7982,-55.1708,271.633,210.965,1432.5,0
0.115,-2.4019,55.0098,293.292,219.756,975.5,0,-1.73975,-55.0046,270.612,211.179,1432.05,0
0.12,-2.37765,54.8041,292.886,219.762,975.785,0,-1.96537,-54.8065,271.702,211.359,1432.47,0
0.125,-2.70256,54.9277,294.423,219.565,975.822,0,-2.31167,-55.4622,273.229,210.649,1433.26,0
0.13,-2.18213,54.7759,293.362,220.132,976.084,0,-1.72546,-55.2784,270.152,210.614,1433.25,0
0.135,-2.41851,54.8854,293.453,219.471,976.416,0,-2.028,-55.3713,269.232,211.472,1431.57,0
0.14,-2.76593,54.4481,293.531,219.2,975.652,0,-1.85338,-55.2628,269.231,211.044,1432.27,0
0.145,-2.424,54.8624,293.911,218.993,976.101,0,-1.95266,-55.1078,269.878,210.768,1432.52,0
0.15,-2.65528,54.8691,292.68,218.53,976.319,0,-2.59919,-54.5442,269.292,210.923,1432.53,0
0.155,-2.30639,55.427,293.383,218.818,975.274,0,-1.91103,-55.0745,268.462,210.826,1432.31,0
0.16,-2.55203,54.7889,294.043,219.33,975.937,0,-2.48301,-54.5728,270.916,211.511,1433.07,0
0.165,-2.06988,54.9665,293.482,218.893,976.593,0,-2.38973,-55.2794,269.951,211.638,1432.79,0
0.17,-2.62957,54.9192,294.423,219.097,976.356,0,-2.38681,-54.9008,267.624,211.503,1431.29,0
0.175,-2.63365,54.8168,293.85,218.599,976.033,0,-2.23712,-55.0475,270.821,211.952,1433.11,0
0.18,-2.30996,54.9677,295.007,218.848,975.464,0,-1.99965,-54.2056,267.938,210.835,1432.08,0
0.185,-2.21942,54.9823,294.551,218.995,976.164,0,-2.08117,-54.5887,269.192,211.549,1432,0
0.19,-1.91573,54.9675,295.236,218.569,975.141,0,-1.82002,-54.593,267.674,211.274,1432.2,0
0.195,-2.4742,54.8997,295.81,218.769,975.277,0,-2.1771,-54.4653,269.094,212.133,1431.65,0
0.2,-2.61426,54.6496,295.874,219.28,975.364,0,-2.25134,-54.4825,269.469,211.088,1431.68,0
0.205,-2.85891,55.0206,296.281,219.867,975.801,0,-2.00396,-54.2204,268.22,212.497,1430.34,0
0.21,-2.86582,54.8852,295.607,219.755,976.259,0,-1.89134,-54.7223,268.189,211.588,1431.42,0
0.215,-2.43756,54.9073,298.486,219.736,975.575,0,-1.85717,-54.2837,269.268,210.946,1431.93,0
0.22,-2.76233,54.9029,297.673,219.794,976.429,0,-1.77642,-54.1994,269.613,211.659,1432.68,0
0.225,-2.6233,54.9336,295.668,220.221,976.507,0,-1.78898,-54.4605,268.491,211.641,1431.13,0
0.23,-2.84839,54.7701,297,219.991,976.396,0,-1.82839,-54.2046,269.303,211.324,1431.63,0
0.235,-2.90724,55.108,297.108,219.967,976.631,0,-2.16637,-54.5023,269.037,211.277,1431.29,0
0.24,-2.98775,54.8589,295.412,219.804,977.338,0,-1.80925,-54.7145,266.831,212.027,1430.78,0
0.245,-3.27025,54.9518,297.163,219.948,977.146,0,-1.79528,-54.7648,266.544,212.102,1431.45,0
0.25,-2.85646,54.9295,296.729,220.596,975.878,0,-1.62892,-54.275,267.462,212.044,1431.18,0
0.255,-3.01078,54.9411,299.328,219.796,975.108,0,-1.83636,-54.0876,267.941,212.603,1432.13,0
0.26,-3.18978,54.9286,296.986,220.474,976.912,0,-1.96726,-54.6086,267.291,212.497,1430.71,0
0.265,-2.75768,55.1744,298.713,220.815,975.953,0,-1.9172,-54.1825,267.609,212.622,1431.42,0
0.27,-3.44276,55.2526,297.043,220.375,977.018,0,-2.09584,-54.3314,266.096,212.366,1430.43,0
0.275,-3.36141,54.7339,295.173,220.284,977.658,0,-2.17532,-53.9489,267.305,211.962,1430.44,0
0.28,-3.18154,54.9209,295.547,221.189,976.337,0,-2.47306,-54.5066,268.373,212.425,1431.72,0
0.285,-2.81112,55.0911,295.643,221.206,976.851,0,-1.98553,-54.0804,268.096,212.285,1431.38,0
0.29,-3.51746,54.8829,295.743,221.055,976.309,0,-2.07024,-54.1054,266.859,212.934,1430.47,0
0.295,-3.07615,54.9812,296.336,220.871,976.981,0,-1.90295,-54.2563,269.234,213.062,1430.08,0
0.3,-2.84816,54.8597,297.18,220.113,976.032,0,-2.05386,-53.6296,266.19,212.727,1430.72,0
0.305,-3.04277,54.4999,295.881,221.109,976.99,0,-1.77557,-54.1672,265.474,212.794,1430.57,0
0.31,-2.6532,55.0911,296.614,221.163,976.759,0,-1.59377,-53.6561,269.306,212.464,1431.44,0
0.315,-3.0092,55.3332,297.186,221.147,976.588,0,-1.88842,-53.9134,267.419,212.733,1429.49,0
0.32,-3.02003,55.0947,295.638,220.95,977.171,0,-1.61933,-54.0078,267.605,212.313,1430.88,0
0.325,-3.08348,54.8405,296.974,220.424,977.173,0,-1.10646,-54.0688,268.49,212.677,1430.42,0
0.33,-3.42639,54.8259,297.081,220.501,976.864,0,-0.910663,-54.3368,266.944,211.957,1430.98,0
0.335,-2.55249,55.1043,295.61,221.094,977.15,0,-1.87761,-53.7528,268.676,211.744,1431.03,0
0.34,-3.1406,54.917,295.661,220.716,977.029,0,-1.86222,-53.9529,268.64,212.014,1431.72,0
