Frame number,1338
First frame,1
Point frequency,200
Analog frequency,1000

Time,Moment.Mx2,Moment.My2,Moment.Mz2,Moment.Mx3,Moment.My3,Moment.Mz3
s,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm
0,-11798.1,-3163.9,2837.98,15165.7,2225.34,-715.172
0.001,-11668.9,-2893.91,2852.02,14833.4,2175.44,-648.679
0.002,-11749.3,-3001.56,2828.25,15024,2206,-555.21
0.003,-11610.6,-3125.68,2891.33,14960.1,2059.22,-629.627
0.004,-11601.5,-3089.83,2809.51,15464,2173.52,-597.329
0.005,-11677.4,-3016.76,2913.95,15134.6,2379.26,-658.59
0.006,-11550.3,-3051.54,2850.76,15240.5,2222.04,-654.427
0.007,-11470.1,-2896.98,2875,15229.7,1940.04,-632.626
0.008,-11490.9,-2822.31,2990.1,15045.1,1924.27,-619.445
0.009,-11853.3,-3057.44,2892.15,15099.9,2170.77,-487.802
0.01,-11805.2,-2980.18,2918.68,15354.6,1981.88,-526.623
0.011,-11677.4,-2933.11,2872.21,15232.7,1918.99,-549.738
0.012,-11333.4,-2935.85,2876.29,15294.1,2069.57,-628.135
0.013,-11517.1,-2968.22,2868.68,15288.7,1992.05,-587.942
0.014,-11566.6,-2957.28,2900.25,15109.6,1951.42,-562.644
0.015,-11556.5,-2981.27,2899.85,15098.6,2093.06,-538.311
0.016,-11475.5,-2934.73,2896.77,15272.6,2075.81,-686.828
0.017,-11578.6,-2770.3,2883.74,15542.4,1897.5,-590.659
0.018,-11484.2,-2802.43,2858.75,15502,1796.45,-602.471
0.019,-11570.5,-2783.27,2973.65,15402.2,1832.03,-578.135
0.02,-11722,-2755.49,3035.79,15443.9,1759.6,-757.162
0.021,-11367.5,-2829.2,2955.01,15484.7,1645.69,-526.658
0.022,-11389,-2779.38,2872.16,15171,1912.5,-585.515
0.023,-11688.7,-2690.89,2976.53,15263.2,1623.32,-567.215
0.024,-11603.8,-2714.84,3003.54,15523.1,1584.79,-620.835
0.025,-11678.5,-2681.76,2985.67,15439.6,1780.61,-564.176
0.026,-11460.7,-2676.74,2920.86,15421.2,1780.32,-559.478
0.027,-11535.2,-2580.46,2955.88,15260,1699.49,-484.465
0.028,-11307.4,-2704.27,2954.97,15679.4,1480.18,-536.202
0.029,-11413,-2499.8,2879.21,15561.4,1543.17,-506.833
0.03,-11401.8,-2723.24,3008.7,15876.2,1337.06,-577.411
0.031,-11369.8,-2679.83,2935.02,15847.7,1635.91,-545.006
0.032,-11447.5,-2344.92,2973.36,15434.2,1730.05,-578.215
0.033,-11285.4,-2632.14,2983.03,15631.3,1587.23,-527.792
0.034,-11553.8,-2723.31,3046.53,15583.9,1436.68,-621.793
0.035,-11481.6,-2499.56,2976.62,15593.8,1508.05,-599.092
0.036,-11358.6,-2337.11,3049.09,15832.5,1433.75,-552.74
0.037,-11338.6,-2470.81,3013.3,15731.9,1562.97,-435.648
0.038,-11453.8,-2517.8,2985.73,15724.8,1523.94,-439.231
0.039,-11311,-2277.21,2988.02,15815.1,1484.51,-477.888
0.04,-11351.4,-2466,3014.58,15745.2,1476.42,-474.59
0.041,-11298.9,-2421.04,2984.14,15915.8,1163.15,-434.271
0.042,-11318.6,-2308.68,3001.19,15502.5,1397.42,-494.832
0.043,-11397.1,-2294.75,2993.2,15780.5,1290.13,-471.564
0.044,-11353,-2334.64,3064.24,15796.9,1359.56,-449.225
0.045,-11335.2,-2340.29,3014.69,15865.2,1260.49,-377.827
0.046,-11191,-2479.63,2964.91,15673.8,1065.28,-484.987
0.047,-11172.4,-2249.79,3000.89,15584.2,1011.04,-387.397
0.048,-11461.8,-2465.13,3054.01,15861.5,1134.77,-382.244
0.049,-11588.1,-2502.64,3069.07,16054.8,1117.56,-292.255
0.05,-11275.2,-2362.2,3018.71,15797.3,1074.78,-422.705
0.051,-11471.6,-2202.7,3060.46,15972.9,1042.41,-333.13
0.052,-11204.1,-2305.97,3078.61,15848,1126.38,-414.214
0.053,-11190,-2243.82,3048.48,15681.3,972.547,-466.514
0.054,-11114,-2125.95,3050,15679.3,942.289,-423.118
0.055,-11348.2,-2046.62,3088.15,15744.8,1046.07,-389.805
0.056,-11388.4,-2244.61,3070.04,16078.5,819.099,-424.673
0.057,-11208,-2226.3,3051.7,16148.6,955.506,-383.774
0.058,-11328.5,-2116.56,3109.54,15702.4,768.86,-331.722
0.059,-10958.5,-2143.47,3164.28,15850.8,855.137,-425.394
0.06,-11008.9,-2185.67,3034.2,16122.8,666.421,-406.504
0.061,-11241.8,-2121.12,3139.44,15983.1,894.889,-400.952
0.062,-11147.1,-2303.9,3200.86,16021.1,730.456,-303.949
0.063,-11034.9,-2253.88,3061.78,15852.4,923.219,-343.128
0.064,-11137.1,-2026.92,3098.92,16321.5,893.151,-314.314
0.065,-11002.1,-2152.93,3099.89,16238.1,926.182,-445.259
0.066,-11143.3,-2027.79,3195.96,16012.8,753.812,-379.409
0.067,-11161.3,-2113.82,3145.11,16039.1,828.774,-307.277
0.068,-11004.7,-2038.06,3095.55,15979.8,552.196,-333.874
0.069,-11162.1,-2075.89,3098.92,15948,886.437,-223.553
0.07,-10912.8,-2170.78,3062.72,16320.1,705.682,-284.814
0.071,-11067.9,-2048.03,3147.06,16031.2,803.162,-345.809
0.072,-11081.9,-2150.67,3131.95,15984.2,725.894,-363.057
0.073,-11164.1,-2030.06,3165.35,15934.1,670.077,-315.952
0.074,-10894.5,-2006.63,3125.71,16073.2,630.667,-209.021
0.075,-11104.1,-2112.64,3113.15,16201.3,422.986,-375.03
0.076,-11220.8,-2115.89,3081.62,15991.2,480.211,-277.328
0.077,-11183.4,-1921.2,3011.32,16024.6,458.297,-238.496
0.078,-11121.5,-1953.12,3088.82,15983.6,369.364,-256.915
0.079,-11068.7,-2094.58,3132.73,15976.2,748.719,-237.267
0.08,-10928.2,-1854.09,3140.21,15926.5,647.992,-202.436
0.081,-10956.9,-2009.34,3064.75,16009.3,442.904,-294.121
0.082,-10861.4,-2150.35,3079.3,16033.9,595.498,-200.403
0.083,-10730.6,-2207,3153.41,16266.6,350.729,-231.093
0.084,-10786.5,-1830.7,3188.85,15937.7,514.006,-139.782
0.085,-11057.7,-2058.69,3146.96,16254.1,394.3,-220.138
0.086,-10946.8,-2163.96,3123.18,16480,311.697,-282.125
0.087,-11154.5,-1967.13,3091.93,16311.6,431.249,-291.622
0.088,-10968.7,-1815.83,3149.57,16074.9,466.986,-131.84
0.089,-10916.2,-2001.35,3156.72,16017.7,295.785,-75.8965
0.09,-11076.8,-2250.35,3101.19,16099.1,435.986,-136.32
0.091,-10668,-1860.51,3150.41,16188.5,343.094,-156.133
0.092,-10742.7,-2080.83,3093.02,16085.5,177.225,-171.544
0.093,-10992,-1848.8,3166.26,16100.2,70.6334,-129.272
0.094,-10976.4,-2025.18,3154.75,16422.5,450.014,-95.1883
0.095,-11193.2,-2113.59,3049.59,16230.9,119.954,-71.2263
0.096,-11024.5,-1926.81,3222.61,16120.1,151.249,-70.6758
0.097,-11000.6,-1974.72,3086.27,16350.1,34.6828,-112.172
0.098,-10649.4,-1988.61,3141.92,16215.8,29.1606,-148.957
0.099,-10906.6,-2127.02,3221.82,16132.1,76.1872,-106.118
0.1,-11053.9,-2076.39,3182.72,16434.1,51.0203,-71.5911
0.101,-10804.2,-2024,3187.8,16167.9,-21.6238,-63.0777
0.102,-10819.2,-1846.46,3157.07,15910.3,-54.3763,49.1568
0.103,-10622.2,-1871.7,3121.67,16368.4,-270.94,-47.3197
0.104,-10866.9,-1903.34,3143.12,16567.2,-152.451,-69.8105
0.105,-10992.9,-1909.24,3116.99,16559.8,-135.089,-85.3123
0.106,-10740,-1847.26,3122.79,16481.8,-254.531,-1.50248
0.107,-10673.5,-1727.83,3098.1,16402.4,-253.712,52.9557
0.108,-10931.5,-1879.81,3228.9,16514.6,-61.2606,10.3367
0.109,-10679.7,-1881.69,3209.36,16563.6,-36.8448,-50.6921
0.11,-10823.1,-2139.52,3262.57,16387.3,-92.5871,-59.6428
0.111,-10745.4,-1742.51,3111.11,16474.8,-196.792,70.1347
0.112,-10836.7,-1993.12,3102.86,16503.1,-185.918,-3.09522
0.113,-10796.6,-1881.39,3218.83,16419.4,-305.813,74.6193
0.114,-10793.1,-1848.02,3100.78,16538.4,-281.65,36.2241
0.115,-10713.6,-2050.93,3187.61,16821.1,-316.497,30.0275
0.116,-10935.9,-1772.11,3184,16574.7,-169.651,-40.4678
0.117,-10632.3,-1827.69,3186.8,16644.4,-350.965,77.5031
0.118,-10826.9,-1882.78,3164.31,16641.1,-278.892,71.0345
0.119,-10604.6,-1862.13,3187.2,16624.4,-499.394,3.51042
0.12,-10842.6,-2006.76,3195.26,16468.4,-350.683,117.464
0.121,-10879.4,-1889.34,3245.98,16388.6,-321.693,58.7902
0.122,-10695.3,-2013.78,3253.09,16920.3,-477.635,61.1221
0.123,-10881.2,-1934.73,3245.11,16701.3,-444.836,114.174
0.124,-10827.2,-1969.7,3261.03,16856.4,-586.208,57.7951
0.125,-10737.5,-1830.28,3271.74,16785,-511.749,58.3312
0.126,-10641.8,-1936.96,3220.39,16661.3,-254.559,39.3029
0.127,-10684.9,-1968.32,3222.06,16745.5,-517.432,57.795
0.128,-11069.9,-2086.17,3268.45,16798.7,-797.43,41.2105
0.129,-11022.8,-1890.56,3295.07,16791.6,-475.973,60.0821
0.13,-10893.5,-1876.92,3196.2,16960.7,-400.435,97.2436
0.131,-11163.1,-2082.08,3200.53,16983.2,-307.564,58.5321
0.132,-10701,-2001.16,3141.63,16881.6,-575.907,75.9941
0.133,-10840.2,-1952.76,3195.32,16831.9,-640.313,21.6346
0.134,-10889.6,-1886.57,3214.33,16595.9,-561.56,80.8021
0.135,-10825,-2064.46,3236.17,16697.4,-489.223,59.9933
0.136,-10700.1,-1815.95,3190.92,16983.5,-442.649,54.7843
0.137,-10993.2,-1760.32,3220.87,16897,-467.717,-17.3325
0.138,-10993.3,-1907.4,3232.62,16762.8,-581.26,60.9454
