Frame number,1450
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,-4.33056,54.5697,288.086,232.65,975.705,0,-0.760429,-53.9721,276.508,216.648,1429.28,0
0.005,-4.56088,54.546,288.672,232.663,975.311,0,-0.574662,-54.1006,276.538,216.731,1429.29,0
0.01,-4.46406,54.5624,289.118,232.145,975.924,0,-0.581428,-54.1235,276.213,216.749,1429.29,0
0.015,-4.34882,54.2923,286.932,232.536,976.401,0,-0.478788,-54.0298,276.371,217.123,1429.25,0
0.02,-4.90144,54.2524,287.192,233.112,975.583,0,-0.646796,-53.9648,275.38,216.337,1428.67,0
0.025,-4.55133,54.1681,288.406,232.543,975.488,0,-0.723868,-53.5742,275.474,217.027,1429.62,0
0.03,-4.86568,54.1308,287.94,232.802,975.908,0,-0.471291,-53.5816,274.371,216.978,1429.33,0
0.035,-4.91999,54.1184,288.511,232.881,975.198,0,-0.421146,-53.7378,273.732,216.663,1429.14,0
0.04,-4.65432,54.4393,286.088,232.541,975.959,0,-0.222262,-53.9211,275.225,216.142,1430.12,0
0.045,-4.8636,54.0091,288,232.716,975.925,0,0.00912347,-53.8021,275.377,216.716,1429.49,0
0.05,-5.01154,53.8589,286.475,233.231,976.167,0,-0.113315,-53.9637,274.298,216.466,1429.57,0
0.055,-4.7743,53.8203,286.877,232.895,975.857,0,-0.315039,-53.9489,273.975,216.618,1429.38,0
0.06,-4.87547,53.9283,287.62,233.331,976.669,0,0.029075,-54.2654,275.322,216.402,1429.5,0
0.065,-5.18045,53.9329,287.2,233.511,976.358,0,-0.545059,-53.778,276.132,216.383,1429.77,0
0.07,-4.72648,54.0336,287.141,233.224,975.914,0,-0.198144,-53.8659,275.703,216.823,1429.47,0
0.075,-4.93624,54.0602,288.552,233.199,975.819,0,-0.756149,-54.2236,276.693,217.015,1429.38,0
0.08,-4.81144,53.8517,287.251,234.029,976.445,0,-1.16605,-54.0262,273.785,217.168,1428.6,0
0.085,-5.03598,53.8883,286.478,233.713,976.371,0,-1.0441,-54.0662,275.065,217.334,1428.52,0
0.09,-5.07745,53.8065,288.321,233.505,975.977,0,-1.07618,-54.119,275.734,216.939,1428.91,0
0.095,-4.79959,53.9915,289.256,234.284,976.858,0,-1.12234,-53.9848,277.681,217.527,1429.78,0
0.1,-5.07132,53.6521,287.832,233.854,977.293,0,-1.36747,-53.7656,277.34,216.827,1429.11,0
0.105,-4.94943,54.4495,289.331,234.067,976.063,0,-1.06068,-54.3126,277.472,217.123,1429.06,0
0.11,-4.71834,54.1869,289.571,233.979,976.539,0,-0.791501,-54.2511,276.053,217.452,1428.76,0
0.115,-4.84402,54.2274,290.092,233.556,976.6,0,-0.286953,-54.0255,277.354,217.429,1428.52,0
0.12,-4.84015,54.294,289.207,233.935,976.917,0,-0.293582,-54.067,276.818,217.356,1428.28,0
0.125,-4.72374,54.2657,289.451,234.118,977.281,0,-0.573249,-54.1046,276.906,217.007,1428.42,0
0.13,-4.83998,54.1972,289.368,233.789,976.825,0,-0.374451,-54.4919,279.531,216.776,1430.43,0
0.135,-4.94496,54.1581,289.021,234.004,977.116,0,-0.348732,-54.5593,277.515,216.301,1429.02,0
0.14,-5.24991,53.7252,289.477,234.065,977.445,0,0.235017,-54.531,277.182,216.983,1429.07,0
0.145,-4.44134,53.9093,289.458,234.414,977.084,0,-0.21355,-53.9973,277.519,216.539,1429.04,0
0.15,-4.95859,54.1389,288.924,233.79,976.95,0,-0.514908,-54.4017,277.347,216.655,1428.77,0
0.155,-4.79607,54.164,290.341,234.021,976.998,0,-0.54437,-54.4601,276.079,216.539,1429.04,0
0.16,-4.73448,53.8678,287.409,234.543,977.581,0,-0.47972,-54.2183,276.338,217.254,1429.04,0
0.165,-4.60197,53.834,290.401,234.538,977.01,0,-0.653098,-54.1512,275.929,217.524,1429.57,0
0.17,-4.55755,54.5961,290.816,233.986,977.327,0,-0.865674,-54.0153,275.647,217.013,1429.33,0
0.175,-4.72166,53.7557,289.443,234.476,976.914,0,-0.907973,-53.8821,275.224,217.187,1428.97,0
0.18,-4.51793,53.9624,289.455,234.257,976.985,0,-0.780663,-54.2463,276.079,216.797,1429.44,0
0.185,-4.47802,53.9719,288.359,234.559,977.332,0,-1.21629,-53.6582,276.563,217.368,1429.12,0
0.19,-4.59832,54.1186,289.546,234.122,977.438,0,-1.02634,-54.2284,274.963,217.935,1428.53,0
0.195,-4.61916,53.9132,288.073,234.337,977.494,0,-0.75043,-53.6609,276.75,217.579,1428.85,0
0.2,-4.88257,53.8784,289.616,234.136,976.774,0,-0.403134,-53.3715,275.244,217.335,1428.78,0
0.205,-4.71359,54.0242,288.496,234.292,977.398,0,-0.741632,-53.8681,276.181,217.483,1429.54,0
0.21,-4.55698,53.775,288.978,233.925,976.997,0,-0.929527,-53.7267,276.349,217.7,1429.22,0
0.215,-4.61734,53.867,288.766,234.521,977.28,0,-0.800552,-53.4741,275.476,217.314,1428.78,0
0.22,-4.77833,53.755,289.805,233.906,976.745,0,-0.455709,-53.7333,275.425,216.755,1429.49,0
0.225,-4.83379,53.8164,290.081,234.033,977.5,0,-0.864856,-53.4767,275.263,216.913,1428.93,0
0.23,-4.66579,53.7146,288.357,234.487,977.296,0,-0.803619,-53.6063,274.372,217.386,1429.08,0
0.235,-4.543,54.2515,289.125,234.155,977.248,0,-0.768529,-53.5592,275.132,217.085,1430.22,0
0.24,-5.01454,54.1455,289.134,234.091,977.634,0,-0.670588,-53.6677,274.109,217.034,1429.5,0
0.245,-4.79861,54.1513,289.859,234.162,977.005,0,-0.803011,-53.765,275.162,216.352,1429.31,0
0.25,-4.99636,53.9641,289.919,233.843,977.878,0,-0.868422,-53.8525,273.577,217.158,1428.98,0
0.255,-4.72119,54.1024,290.857,233.793,977.139,0,-0.678029,-53.7112,275.506,217.728,1430.12,0
0.26,-4.95214,54.1591,290.177,234.115,977.093,0,-0.467979,-53.3639,273.445,216.518,1429.41,0
0.265,-4.8277,54.1547,292.108,233.638,977.018,0,-0.896015,-53.7235,273.363,216.545,1429.07,0
0.27,-4.61201,54.4195,290.118,233.623,977.476,0,-0.581483,-53.5277,273.89,216.427,1429.85,0
0.275,-4.65802,54.2278,290.782,233.256,977.874,0,-0.663985,-53.4069,274.202,216.01,1429.51,0
0.28,-4.76261,53.918,289.815,234.006,977.504,0,-0.193421,-53.4172,272.816,216.973,1428.88,0
0.285,-4.72164,54.4215,291.523,233.196,976.939,0,-0.927187,-53.4798,273.04,215.898,1429.49,0
0.29,-4.61318,54.7063,292.144,233.299,977.444,0,-0.802984,-53.2632,272.496,217.088,1429.03,0
0.295,-4.44861,54.5341,291.122,233.469,977.269,0,-1.08245,-52.9589,272.943,216.756,1428.94,0
0.3,-4.5608,54.5953,291.824,233.248,976.815,0,-0.987194,-53.5455,272.338,216.403,1429.16,0
0.305,-4.49624,54.4309,292.419,233.166,976.516,0,-0.895818,-53.3469,272.94,215.971,1430.02,0
0.31,-4.49645,54.4602,292.728,232.719,976.573,0,-0.352009,-53.0577,272.069,215.577,1429.51,0
0.315,-4.68214,54.4534,291.975,232.296,976.354,0,-0.509203,-52.9346,273.868,215.859,1429.85,0
0.32,-4.67422,54.8879,292.634,231.845,975.947,0,-0.47087,-53.3408,271.748,215.567,1428.57,0
0.325,-4.84086,54.4788,292.277,231.901,976.679,0,-0.118073,-53.4512,271.546,216.081,1429.62,0
0.33,-4.93236,54.8089,293.892,230.946,975.808,0,0.0999811,-53.2374,272.121,215.195,1430.4,0
0.335,-4.41172,54.4759,293.902,230.972,975.435,0,0.480709,-52.9792,270.172,215.116,1429.74,0
0.34,-4.54979,54.7342,294.329,230.498,974.826,0,0.680093,-53.143,271.35,215.058,1429.99,0
0.345,-4.92511,54.5993,294.301,229.812,975.247,0,0.564139,-53.1868,272.044,215.148,1430.1,0
