Frame number,1337
First frame,1
Point frequency,200
Analog frequency,1000

Time,Moment.Mx2,Moment.My2,Moment.Mz2,Moment.Mx3,Moment.My3,Moment.Mz3
s,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm
0,-17707.6,-11527.5,126.442,16319.4,-4471.06,313.992
0.001,-17769.6,-11567.1,114.329,16365.2,-4295.71,314.46
0.002,-17816,-11360.4,205.71,16476.1,-4305.73,254.128
0.003,-17870.4,-11496.7,142.411,16329.4,-4427.41,264.855
0.004,-17965.2,-11626.7,168.846,16249.6,-4348.36,304.341
0.005,-17765.7,-11546.3,164.814,16164.2,-4524.69,261.688
0.006,-17910.6,-11252.7,136.374,16417.5,-4405.88,222.958
0.007,-17825.7,-11478.4,93.4959,16298.6,-4243.9,248.059
0.008,-17896.2,-11370.1,187.86,16242.6,-4294.26,199.369
0.009,-17736,-11615.2,125.417,16490,-4612.72,136.042
0.01,-17743.2,-11413.3,156.963,16262.6,-4404.41,211.033
0.011,-17591.9,-11601.6,161.471,16217.1,-4287.43,267.464
0.012,-17833.5,-11297.6,112.909,16507.4,-4326.04,217.287
0.013,-17965.4,-11485.5,92.8724,16345.4,-4307.9,142.836
0.014,-17648.4,-11213.8,140.813,16177.9,-4328.5,155.595
0.015,-17679.2,-11384.5,143.076,16172.4,-4448.24,142.362
0.016,-17664,-11469.1,113.905,16228.6,-4248.5,170.319
0.017,-17669.5,-11241.2,161.599,16215.2,-4457.59,229.536
0.018,-17791.4,-11413.6,122.779,16339.8,-4123.23,273.295
0.019,-17829.6,-11353.3,141.472,16331.3,-4238.77,207.471
0.02,-17872.8,-11393.3,166.365,16281.6,-4289.82,238.232
0.021,-17789.2,-11360,152.272,16247.7,-4190.53,202.801
0.022,-17518,-11374.4,149.876,16298.3,-4250.57,296.418
0.023,-17573.2,-11464,124.397,16177.3,-4502.32,233.904
0.024,-17893.8,-11514.5,88.9916,16394.8,-4353.37,230.624
0.025,-17727.4,-11379.9,185.986,16461.5,-4424.42,222.659
0.026,-17707.9,-11495.6,183.709,16230.3,-4489.16,254.8
0.027,-17641.9,-11330.8,146.557,16254.9,-4441.58,243.608
0.028,-17825.8,-11247.3,54.1979,16535.7,-4485.04,203.735
0.029,-17666.6,-11600,144.7,16330.9,-4352.22,238.448
0.03,-17816.4,-11300.6,166.073,16181.5,-4461.27,242.856
0.031,-17651.5,-11400.5,140.787,16389.9,-4400.44,195.962
0.032,-17562.9,-11469.9,96.8488,16426.2,-4435.76,199.311
0.033,-17742.7,-11343.9,133.143,16310.9,-4385.94,237.228
0.034,-17724.5,-11445,124.702,16046.2,-4437.06,310.88
0.035,-17463,-11352.9,163.625,16140.9,-4528.58,230.534
0.036,-17690.9,-11217.8,189.238,16463.7,-4295.66,215.886
0.037,-17703.9,-11199.3,130.511,16454.3,-4313.6,217.833
0.038,-17578.8,-11298,181.49,16254.3,-4286.25,251.958
0.039,-17654,-11362,158.99,16206.1,-4358.18,307.83
0.04,-17744,-11414,184.043,16496.4,-4314.01,232.132
0.041,-17721.2,-11428.5,171.969,16342.9,-4238.8,287.63
0.042,-17691.3,-11183.2,188.342,16440.6,-4324.53,169.576
0.043,-17717.5,-11281.8,207.109,16174.1,-4379.99,157.017
0.044,-17617.1,-11349.4,221.219,16514.1,-4280.84,227.583
0.045,-17561.3,-11368.4,224.165,16247.7,-4214.45,192.854
0.046,-17533.2,-11368.7,229.714,16473.9,-4405.44,180.663
0.047,-17733,-11257.8,196.503,16310.4,-4304.24,199.727
0.048,-17716.5,-11357,222.475,16581.7,-4395.27,217.281
0.049,-17705,-11329,150.218,16537.5,-4585.29,227.398
0.05,-17792.2,-11349.5,143.241,16414,-4376.38,214.216
0.051,-17864.5,-11288.5,166.139,16525.4,-4197.86,266.686
0.052,-17794,-11305.3,152.373,16440.4,-4416,186.848
0.053,-17692.1,-11254.6,169.227,16267.8,-4468.79,297.031
0.054,-17692.9,-11420,238.779,16290.7,-4399.95,227.875
0.055,-17601.8,-11502.4,228.754,16563.4,-4354.52,174.938
0.056,-17691.1,-11617.3,189.587,16661.2,-4418.32,132.855
0.057,-17783.5,-11455.6,191.688,16402.2,-4503.82,332.043
0.058,-17717.4,-11291.4,147.786,16667.5,-4423.76,187.164
0.059,-17625.1,-11334.3,190.459,16413,-4452.17,234.842
0.06,-17602,-11533.3,206.442,16278.2,-4518.24,227.851
0.061,-17554.1,-11406.2,196.735,16236.8,-4388.58,216.483
0.062,-17518.5,-11295.8,164.263,16203.2,-4420.74,289.881
0.063,-17739.2,-11390.8,191.02,16244.6,-4526.88,197.635
0.064,-17713.3,-11392,138.327,16250.6,-4326.36,196.934
0.065,-17676.5,-11498.1,155.473,16545.6,-4463.95,219.022
0.066,-17927.6,-11333.5,219.354,16274.8,-4471.45,303.989
0.067,-17885.3,-11234.1,148.408,16343.6,-4358.24,206.114
0.068,-17803.2,-11332.8,208.28,16565.9,-4410.26,246.069
0.069,-17847.9,-11314.7,212.331,16484.6,-4427.74,202.979
0.07,-17834.4,-11279.7,170.041,16186.4,-4362.61,154.667
0.071,-17579.5,-11244.9,174.324,16239.7,-4566.52,225.595
0.072,-17810.7,-11246.6,194.315,16095.9,-4371.24,276.671
0.073,-17891.1,-11230.8,229.266,16201.6,-4288.38,274.505
0.074,-17719.3,-11231.3,247.963,16328.3,-4397.86,207.637
0.075,-17838.3,-11367,189.977,16073.1,-4483.16,254.226
0.076,-17859.1,-11351.1,136.003,16266.8,-4470.56,234.891
0.077,-17671.4,-11394.3,201.78,16164.7,-4432.34,184.904
0.078,-17437.2,-11135.8,198.346,16193,-4281.3,284.948
0.079,-17539.8,-11173.9,232.58,16593.5,-4177.8,176.277
0.08,-17755.7,-11253.6,198.803,16467.2,-4306.47,209.306
0.081,-17642.1,-11317.2,185.714,16332.7,-4207.72,349.155
0.082,-17784.1,-11553.9,245.57,16323.5,-4460.41,243.793
0.083,-17612.9,-11170,265.441,16546.6,-4365.83,133.792
0.084,-17779.7,-11431.6,218.454,16641.7,-4317.58,212.894
0.085,-17771.2,-11319.8,193.656,16393.6,-4205.09,280.978
0.086,-17693.1,-11209,156.783,16527.1,-4333.69,170.756
0.087,-17553.5,-11394.5,165.459,16440.6,-4325.28,231.306
0.088,-17603.6,-11348.8,135.914,16081.1,-4362.86,217.657
0.089,-17693.6,-11430.8,150.262,16173.8,-4362.78,212.21
0.09,-17800.6,-11239.4,201.862,16315.9,-4398.53,209.823
0.091,-17868.3,-11282.3,129.362,16281.8,-4357.07,254.916
0.092,-17791.2,-11332.2,179.297,16402.1,-4342.66,197.148
0.093,-17952,-11215.6,207.174,16209.9,-4263.26,269.861
0.094,-17545,-11135.4,153.763,16230.5,-4307.22,172.579
0.095,-17636.7,-11170.9,156.116,16050.5,-4387.66,168.425
0.096,-17644,-11373.3,165.268,15983.2,-4370.17,212.643
0.097,-17804.7,-11386.4,112.144,16265.2,-4321.88,198.78
0.098,-17734.6,-11238.3,48.0512,16355.4,-4356.79,221.452
0.099,-17694.4,-11425.8,244.298,16279.2,-4402.77,235.089
0.1,-17491.7,-11187.9,194.354,16238.2,-4393.45,162.702
0.101,-17557.2,-11187.2,238.655,16104.4,-4239.7,210.068
0.102,-17692.8,-11241.1,283.005,16450,-4394.15,276.119
0.103,-17659.5,-11394.9,161.208,16431.6,-4239.98,284.298
0.104,-17708.3,-11149.1,146.487,16372.5,-4289.91,280.33
0.105,-17617.1,-11097.8,262.741,16191.2,-4459.69,320.646
0.106,-17538.3,-11192.9,212.457,16219,-4355.17,283.642
0.107,-17648.2,-11173.3,219.239,16245.2,-4349.33,246.237
0.108,-17758.7,-11228.8,149.602,16515.8,-4482.51,214.091
0.109,-17532.8,-11253.9,203.396,16406.4,-4415.31,214.519
0.11,-17756.7,-11290.3,187.729,16228.8,-4245.58,207.352
0.111,-17764.8,-11148.1,177.256,16052.9,-4328.62,182.101
0.112,-17923.4,-11374.8,141.53,16241.3,-4305.64,222.712
0.113,-17998.4,-11230.7,175.566,16290.6,-4289.66,259.926
0.114,-17523.1,-11185.7,207.308,16236.9,-4325.34,223.442
0.115,-17336.4,-11229.6,200.654,16374.7,-4286.79,279.453
0.116,-17637.6,-11366.9,173.34,16577.4,-4482.53,299.001
0.117,-17507.4,-11224.7,203.065,16266.6,-4337.52,197.62
0.118,-17653.1,-11205.2,265.034,16257.9,-4453.39,281.84
0.119,-17528.6,-11136.6,205.225,16280.5,-4642.55,172.324
0.12,-17602.5,-11224,141.593,16553.2,-4632.61,248.548
0.121,-17659.3,-11361.9,226.806,16395.3,-4495.87,233.404
0.122,-17592.4,-11360,181.116,16244.1,-4389.47,229.524
0.123,-17470.3,-11262.6,208.485,16193.9,-4432.73,234.03
0.124,-17713.7,-11265.1,144.444,16526.6,-4392.9,319.974
0.125,-17810.4,-11334.2,190.126,16478.9,-4475.31,292.215
0.126,-17439.8,-11365.9,203.167,16225.1,-4238.57,293.142
0.127,-17683.9,-11271.3,183.688,16325.5,-4458.05,223.777
0.128,-17700.1,-11358.2,178.345,16293,-4427.93,272.717
0.129,-17592.8,-11144.1,216.092,16220.8,-4453.75,271.186
0.13,-17654.1,-11293.7,198.827,16271.7,-4440.7,264.133
0.131,-17618.7,-11179.3,244.905,16434.7,-4408,254.984
0.132,-17752.8,-11338.3,197.997,16303.3,-4524.47,350.626
0.133,-17467.2,-11345.9,184.029,16419.5,-4686.93,272.932
0.134,-17644.9,-11320.1,237.173,16392.7,-4525.49,204.495
0.135,-17564.2,-11259.6,240.209,16472.9,-4491.28,253.037
0.136,-17926.7,-11233.2,228.686,16615,-4529.4,264.285
0.137,-17694,-11537.3,191.708,16360.3,-4440.22,330.222
0.138,-17710.4,-11403.5,205.218,16540.3,-4568.05,328.741
0.139,-17628.3,-11262.8,129.539,16678.3,-4588.49,257.219
0.14,-17730.2,-11417.6,114.665,16592.7,-4563.55,266.917
0.141,-17978.6,-11275.3,167.291,16454.6,-4426.89,185.041
0.142,-17763.3,-11256.3,165.103,16778.4,-4554.53,288.472
0.143,-17831.7,-11364.1,212.071,16439,-4461.74,219.066
0.144,-17608.7,-11329.8,172.418,16501.8,-4489.12,323.568
0.145,-17681.2,-11201.6,195.733,16603.6,-4723.08,296.765
0.146,-17703.8,-11307.2,245.744,16446.8,-4610.51,254.821
0.147,-17792.5,-11364.2,250.84,16386.8,-4573.44,281.136
0.148,-17810.8,-11304.5,148.396,16475.5,-4745.09,337.432
0.149,-17559.3,-11357.7,132.733,16498.7,-4671.46,304.797
0.15,-17693.1,-11332.3,192.939,16538.3,-4728.4,285.693
0.151,-17717.7,-11343.5,224.783,16623,-4517.51,268.157
0.152,-17602.1,-11316.6,237.045,16585.6,-4634.02,261.096
0.153,-17549.7,-11317.2,208.009,16417,-4674.63,309.916
0.154,-17686.2,-11263,148.037,16383.9,-4651.16,335.118
0.155,-17698.7,-11466.7,195.408,16462.6,-4756.55,347.226
0.156,-17814,-11360.9,155.676,16430.3,-4686.3,196.875
0.157,-17727.9,-11370.8,182.188,16512.7,-4844.3,298.928
0.158,-17718.2,-11404.8,235.632,16365.4,-4928.71,343.59
0.159,-17641.5,-11352.5,224.171,16679,-4870.25,348.329
0.16,-17548,-11357.9,227.901,16617.5,-4880.35,343.988
0.161,-17661.1,-11366,180.208,16558.3,-4709.16,281.672
0.162,-17868.7,-11422.8,212.559,16544.6,-4969.71,410.285
0.163,-17883.3,-11391.6,170.292,16661.7,-4914.23,290.579
0.164,-17828.9,-11592.5,175.937,16626.4,-4801.95,314.843
0.165,-17845.9,-11570.3,185.174,16680.1,-4785.27,331.671
0.166,-17881.2,-11509.7,132.307,16608.1,-4839.99,300.708
0.167,-17628.5,-11581.4,264.992,16569.7,-4940.42,430.134
0.168,-17636.6,-11521.2,220.664,16410.4,-4867.96,316.641
0.169,-17846.4,-11474.5,206.82,16861.7,-4925.28,356.494
0.17,-17647,-11465.3,194.773,16796.3,-4719.75,338.202
0.171,-17793.3,-11440.8,141.609,16600.2,-4599.92,389.709
0.172,-17964.6,-11487.6,157.059,16555.3,-4954.88,328.894
0.173,-17696.2,-11549,169.975,16512.9,-4963.96,274.579
0.174,-18014.2,-11537,146.162,16654.9,-4832.1,374.645
0.175,-18053.7,-11621.3,120.875,16712.1,-4753.66,333.514
0.176,-17712.8,-11535,148.015,16692.8,-4856.13,369.471
0.177,-17848.7,-11471.1,190.846,16561.6,-4704.96,393.742
0.178,-17714.3,-11480.3,180.346,16523.6,-4877.85,363.974
0.179,-17881.5,-11533.7,77.7728,16555.1,-4907.77,370.622
0.18,-17870.6,-11673.3,197.887,16622.5,-4766.66,403.617
0.181,-18024,-11588.2,152.371,16273,-4909.2,409.716
0.182,-17725.9,-11384.2,92.1625,16635.4,-4874.91,360.93
0.183,-17720.2,-11475.1,144.085,16736.5,-4984.49,361.82
0.184,-17917.5,-11638.8,225.196,16712.9,-4889.92,353.916
0.185,-17922.5,-11598,86.6044,16642.7,-5043.1,400.919
0.186,-17934.5,-11434.9,121.662,16464.7,-5015.53,416.051
0.187,-17697,-11407,212.501,16666.1,-5050.19,407.028
0.188,-17723.3,-11434.2,155.605,16502.3,-5019.65,434.872
0.189,-17778.8,-11478,151.337,16771.9,-5020.83,337.266
0.19,-17738.7,-11539.3,145.607,16497.5,-4969.88,406.61
0.191,-17812.4,-11574.3,163.788,16497.3,-4785.96,424.781
0.192,-17940.6,-11626.6,41.4685,16692.1,-5043.17,368.283
0.193,-17989.4,-11492.8,30.2783,16615.4,-5005.31,395.68
0.194,-17908.8,-11620.6,182.979,16541.1,-5153.82,376.315
0.195,-17856.5,-11630.9,162.597,16730.1,-5057.28,352.762
0.196,-17797.1,-11802,124.423,16806.5,-4886.12,406.835
0.197,-17735.1,-11701.1,85.3961,16544.2,-5056.27,444.948
0.198,-18018.7,-11494.4,110.242,16706.5,-5094.52,407.844
0.199,-17784.7,-11625.5,141.855,16696.7,-4971.86,446.025
0.2,-17830.4,-11407.2,93.7355,16608.9,-5161.06,411.403
0.201,-17844.4,-11407.8,120.138,16368.9,-5130.17,477.589
0.202,-17737.5,-11398.7,43.4902,16447.3,-5179.96,504.985
0.203,-17956.6,-11632.3,101.18,16555.4,-5251.01,469.592
0.204,-17827.3,-11605.3,107.704,16782.9,-5030.71,456.888
0.205,-17905.9,-11629.8,135.413,16611.6,-5147.18,468.904
0.206,-17829.9,-11406.6,128.482,16813.3,-5105.31,452.948
0.207,-17812.3,-11493,99.2869,16744.9,-5111.6,440.315
0.208,-17799.6,-11589.6,158.539,16692.7,-5015.06,384.296
0.209,-18019.9,-11614.7,103.876,16593.7,-4935.62,436.83
0.21,-17932.2,-11637.6,130.085,16385.3,-5212.52,548.572
0.211,-17801.3,-11414.3,182.429,16449.7,-5229.91,539.156
0.212,-17722,-11491.3,153.703,16742.8,-5142.17,419.677
0.213,-17939.1,-11419.1,145.293,16547.9,-5119.04,450.114
0.214,-17782.3,-11288.2,112.658,16751.5,-5095.17,439.537
0.215,-17857,-11530.7,147.838,16681.2,-5165.13,464.781
0.216,-17821.4,-11499.8,117.95,16369.7,-5146.39,452.937
0.217,-17881,-11540.7,101.53,16579,-5067.42,543.24
0.218,-17907.1,-11485,93.4162,16724.6,-5085.99,511.38
0.219,-17945.3,-11613,109.173,16607.4,-5200.32,479.325
0.22,-18050.3,-11450.9,60.8448,16513.6,-5276.37,605.989
0.221,-17758.8,-11526.2,95.7375,16594.7,-5116.04,535.234
0.222,-18011.5,-11499.1,62.3985,16487.9,-5082.77,496.095
0.223,-17966.1,-11614.4,103.294,16709.5,-5287.06,515.617
0.224,-17990.6,-11584.1,117.911,16813.8,-5129.85,473.813
0.225,-18067.5,-11492.4,164.229,16742.7,-5090.6,479.802
0.226,-17904.5,-11617.9,42.9596,16739.4,-5319.54,442.495
0.227,-18126.2,-11569.8,78.5036,16751.3,-5309.46,516.201
0.228,-18292.2,-11531.6,105.188,16597.8,-5453.83,571.377
0.229,-17946.9,-11392.4,25.8343,16705.2,-5314.32,535.493
0.23,-18129.1,-11482.7,51.1702,16716.3,-5273.13,533.049
0.231,-18375.3,-11797.5,81.7869,16723.9,-5363.56,567.863
0.232,-18301.7,-11723.8,-38.8955,16650.4,-5272.65,512.518
0.233,-18144.6,-11618.9,-70.1749,16760.4,-5450.4,545.116
0.234,-18145.8,-11730.1,-13.7784,16508.5,-5356.29,570.929
0.235,-18226.9,-11774.4,54.5997,16629.6,-5513,606.389
0.236,-18337.1,-11628,42.8413,16749.2,-5455.35,560.752
0.237,-18293.9,-11509,-6.95067,16686.1,-5332.74,553.075
0.238,-18498.3,-11835.6,15.9497,16781.2,-5451.53,529.31
0.239,-18452.1,-11770.6,-15.4779,16792.3,-5501.1,572.302
0.24,-18362.9,-11731.5,-31.1342,16694.7,-5474.74,620.97
0.241,-18433.4,-11873.7,-41.9855,16705.9,-5673.53,564.3
0.242,-18665.6,-11834.4,-31.4049,16730.7,-5388.37,589.321
0.243,-18247.1,-11653.4,-42.7957,16891.5,-5466.7,572.98
0.244,-18466.1,-11610.9,-54.9605,16921.3,-5537.14,653.042
0.245,-18598.6,-11734.4,-36.0232,17029.5,-5773.83,668.864
0.246,-18427.6,-11818.6,-73.7422,17003.1,-5738.31,685.175
0.247,-18445.4,-11749.7,-71.4936,16793.2,-5614.42,679.62
0.248,-18259.9,-11908.9,-120.31,16972.3,-5798.12,638.058
0.249,-18349.5,-11919.6,-85.0437,16839.8,-5531.12,599.939
0.25,-18642.4,-12013.5,-52.5256,16864.9,-5697.88,616.013
