Frame number,1337
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.28,-5.65615,57.2191,297.565,238.291,965.926,0,-0.92058,-49.0448,245.653,224.861,1437.41,0
0.285,-5.4393,57.1735,299.345,237.576,964.983,0,-1.6839,-48.3676,245.235,224.789,1436.89,0
0.29,-4.88063,56.8428,298.777,238.207,966.201,0,-2.40133,-47.6858,241.409,226.214,1437.1,0
0.295,-4.93259,56.6621,300.526,238.895,964.785,0,-2.39054,-46.6345,238.281,226.981,1434.67,0
0.3,-4.9309,56.7844,300.345,237.964,966.697,0,-2.70989,-45.4965,237.163,228.226,1435.48,0
0.305,-4.31867,56.2011,303.456,238.751,965.948,0,-3.40931,-44.6755,234.968,228.211,1434.32,0
0.31,-4.37343,55.8245,300.861,238.556,966.344,0,-3.78495,-43.2638,233.229,229.274,1434.61,0
0.315,-4.46771,56.3876,301.698,238.28,966.39,0,-4.1241,-42.9175,230.297,229.601,1432.83,0
0.32,-4.93804,55.6963,299.317,239.178,966.962,0,-4.38264,-42.3944,229.855,230.495,1433.4,0
0.325,-5.08698,55.5143,299.1,238.597,967.211,0,-5.24845,-41.5236,227.179,231.581,1432.69,0
0.33,-5.72439,54.9864,299.526,239.166,967.369,0,-5.06244,-40.6544,226.199,231.146,1430.49,0
0.335,-6.07937,54.7726,299.223,239.806,967.616,0,-6.15887,-39.9199,223.785,232.375,1430.52,0
0.34,-6.60696,54.3866,300.066,240.681,967.341,0,-6.98598,-39.1097,219.865,233.279,1429.78,0
0.345,-7.85734,54.088,296.98,240.957,968.95,0,-7.13044,-37.8357,216.621,234.426,1429.95,0
0.35,-8.27978,53.1142,295.779,240.741,968.216,0,-7.61564,-36.4098,213.001,234.65,1429.78,0
0.355,-9.07554,52.2952,295.051,242.085,968.882,0,-8.39269,-35.1179,207.661,234.234,1429.72,0
0.36,-10.0327,51.1093,290.221,242.585,968.655,0,-8.25411,-33.8283,201.729,235.857,1428.22,0
0.365,-11.3828,49.3167,285.503,243.266,969.383,0,-8.12089,-32.5562,195.236,235.376,1428.3,0
0.37,-11.8897,47.2113,278.784,242.959,969.155,0,-7.67687,-30.8363,188.185,235.54,1427.71,0
0.375,-12.9124,44.8342,270.23,243.459,969.952,0,-7.48328,-28.7824,180.191,235.444,1427.49,0
0.38,-14.2971,42.2778,258.2,244.322,971.206,0,-7.42001,-26.7235,170.753,235.416,1425.21,0
0.385,-14.5092,39.3166,247.591,244.034,969.841,0,-6.64082,-25.0939,166.703,235.967,1427.55,0
0.39,-15.1504,35.6766,234.748,242.93,970.219,0,-6.61175,-23.5487,160.073,235.203,1425.29,0
0.395,-15.9556,32.499,218.971,243.056,969.986,0,-6.53709,-22.4359,155.224,235.096,1424.26,0
0.4,-16.1964,29.3392,201.554,243.632,970.937,0,-6.22778,-21.1065,150.607,234.231,1422.74,0
0.405,-15.8041,26.0493,186.814,241.868,970.767,0,-5.83409,-20.2581,150.032,235.093,1425.4,0
0.41,-14.9585,23.5022,170.657,240.788,970.984,0,-5.67677,-20.1564,148.727,234.234,1423.27,0
0.415,-12.5436,21.2348,157.624,238.142,969.889,0,-5.24494,-20.3809,150.686,234.062,1424.26,0
0.42,-9.84314,20.5568,147.07,234.301,968.967,0,-4.22344,-21.5232,152.516,236.948,1423.11,0
0.425,-5.6353,20.4474,141.002,229.639,968.839,0,-3.06583,-22.5382,157.74,236.226,1423.44,0
0.43,-1.56344,21.1753,137.534,224.038,967.307,0,-2.14206,-23.5277,160.034,237.149,1422.67,0
0.435,2.69933,21.9611,135.511,219.168,963.761,0,-2.08046,-23.8291,163.538,236.646,1422.16,0
0.44,5.64122,21.7912,131.398,214.535,963.367,0,-2.16402,-25.1347,167.855,236.853,1421.4,0
0.445,7.84826,21.5517,130.216,208.791,960.824,0,-2.7059,-25.5732,168.301,237.342,1421.83,0
0.45,8.45261,21.1239,123.7,205.739,960.829,0,-2.50211,-26.634,174.387,237.643,1419.8,0
0.455,8.43506,20.3703,121.048,203.157,960.983,0,-4.33309,-28.0551,177.429,238.229,1420.38,0
0.46,7.44996,20.2446,117.556,199.527,961.418,0,-5.03351,-28.2852,179.418,237.895,1421.56,0
0.465,7.04815,20.018,115.904,200.733,958.009,0,-5.46727,-29.1535,178.827,237.469,1421.85,0
0.47,6.81253,20.0941,116.125,201.504,957.593,0,-5.73083,-29.8703,180.221,238.615,1421.95,0
0.475,6.89704,21.0257,118.346,201.414,959.535,0,-6.11962,-30.8762,180.084,238.801,1421.97,0
0.48,6.1006,20.9223,119.932,205.656,961.249,0,-5.44093,-31.0122,181.346,238.222,1423.82,0
0.485,5.4451,21.0324,123.507,206.931,961.108,0,-5.16787,-31.7335,181.603,238.701,1422.34,0
0.49,3.62228,21.1313,127.457,209.59,960.155,0,-4.2412,-33.0466,186.107,238.072,1424.06,0
0.495,2.49951,21.6779,131.515,211.584,961.447,0,-2.59914,-34.2352,186.75,239.421,1422.89,0
0.5,1.59262,21.9716,135.601,216.127,963.649,0,-2.13232,-34.8005,190.957,239.23,1424,0
0.505,1.02268,23.2394,141.125,217.657,965.891,0,-1.69309,-35.0364,192.471,239.204,1425.55,0
0.51,0.914547,24.9746,148.99,220.449,966.486,0,-0.753413,-35.9039,196.872,238.919,1425.51,0
0.515,0.840938,27.1661,158.438,223.259,967.588,0,-0.105375,-36.9701,203.018,238.927,1425.39,0
0.52,0.841814,29.0376,169.008,225.361,968.292,0,-0.207861,-36.8513,206.325,238.531,1425.75,0
0.525,0.493018,30.5989,178.299,227.519,969.585,0,-0.541159,-36.6543,203.191,238.963,1424.98,0
0.53,0.426949,31.8585,188.916,228.653,969.051,0,-0.264644,-37.1113,202.682,239.019,1424.45,0
0.535,-0.958374,31.6526,196.271,230.004,970.074,0,0.550858,-37.744,207.448,239.469,1425.36,0
0.54,-1.60213,32.0942,201.455,231.693,971.537,0,1.69114,-39.2474,210.466,238.535,1424.9,0
0.545,-2.35284,31.1195,206.64,233.422,970.991,0,2.7457,-39.7943,211.632,239.522,1425.91,0
0.55,-2.68564,30.912,211.433,234.227,971.929,0,3.25804,-39.592,211.365,237.977,1427,0
0.555,-1.78484,31.4223,219.72,234.608,971.939,0,3.94107,-39.7093,212.975,239.07,1425.57,0
0.56,-1.55323,32.5715,225.037,234.765,972.379,0,4.39357,-39.6493,216.635,238.517,1426.8,0
0.565,-0.479002,32.8539,228.61,235.218,972.997,0,4.24373,-39.3107,218.478,237.718,1427.63,0
0.57,-0.635387,34.0579,230.003,235,973.32,0,4.39935,-39.2532,220.121,238.065,1426.14,0
0.575,-0.171733,34.8417,233.482,235.182,972.758,0,4.28196,-39.4648,227.785,238.677,1426.85,0
0.58,-0.339245,35.6033,235.477,235.66,972.881,0,3.6485,-39.1909,233.173,238.338,1426.44,0
0.585,-1.92673,36.5323,237.851,236.098,973.943,0,3.36902,-38.0859,238.209,237.951,1427.45,0
0.59,-2.2775,37.2864,242.972,236.492,971.942,0,3.29902,-37.3811,242.587,237.849,1426.16,0
0.595,-2.18608,38.8859,251.073,237.666,974.013,0,2.95127,-37.5377,249.749,238.881,1426.1,0
0.6,-2.56529,39.6158,261.576,237.319,973.039,0,2.52528,-37.0449,256.959,238.202,1425.83,0
0.605,-3.16514,41.0415,271.252,237.969,973.424,0,1.12715,-36.388,264.837,238.106,1425.69,0
0.61,-2.90341,41.6208,275.321,238.654,973.615,0,-0.486214,-35.1946,268.186,238.937,1424.78,0
0.615,-2.76516,42.0941,278.527,238.385,972.894,0,-1.81693,-34.7052,277.164,239.455,1425.51,0
0.62,-3.24113,41.0523,282.348,237.624,973.429,0,-4.1558,-34.143,286.787,239.073,1425.19,0
0.625,-3.48109,40.4577,285.792,237.813,973.314,0,-5.47864,-33.1475,295.095,238.86,1425.07,0
0.63,-4.54053,39.3773,287.592,238.464,973.662,0,-6.1922,-32.9357,301.712,238.73,1425.33,0
0.635,-5.8275,38.116,289.296,238.815,973.13,0,-7.4122,-32.3844,303.41,238.787,1425.42,0
0.64,-6.46379,37.8586,294.475,239.006,973.233,0,-7.22247,-32.4815,309.55,238.704,1425.85,0
0.645,-6.98069,38.1426,304.874,238.474,973.244,0,-7.74429,-32.7096,315.088,238.139,1426.79,0
0.65,-7.23223,38.8931,309.583,238.898,974.021,0,-8.94002,-31.8174,321.121,237.265,1426.88,0
0.655,-7.81437,39.2781,317.143,238.663,972.981,0,-9.62924,-31.4777,325.343,236.474,1427.2,0
0.66,-7.86549,39.6036,319.197,238.006,973.344,0,-9.88216,-31.5736,326.929,235.553,1426.28,0
0.665,-7.2195,39.4515,322.946,237.645,972.705,0,-10.0326,-31.8878,331.548,235.632,1427.19,0
0.67,-7.07997,37.9128,323.047,237.206,972.631,0,-10.3721,-31.5303,338.519,234.6,1427.96,0
0.675,-7.26483,36.5826,324.73,236.644,972.286,0,-10.3426,-31.5855,340.46,234.164,1428.4,0
0.68,-6.76808,34.8543,323.263,235.917,972.635,0,-10.0483,-31.4842,344.09,233.368,1429.05,0
0.685,-6.19858,34.1428,323.835,234.716,972.276,0,-9.04264,-31.4401,343.173,232.763,1428.31,0
0.69,-5.61639,33.7066,324.545,234.953,972.784,0,-8.31184,-30.5579,343.738,231.708,1429.32,0
0.695,-5.16336,32.7798,325.237,233.663,971.556,0,-7.75993,-30.6373,343.871,230.16,1429.35,0
0.7,-4.72008,32.0988,321.957,233.976,971.215,0,-6.76105,-30.2229,340.776,229.647,1430.46,0
0.705,-4.59559,31.789,320.769,232.984,971.554,0,-5.72718,-29.6791,337.746,228.839,1430.41,0
0.71,-4.10611,30.7233,317.725,232.555,970.716,0,-4.87629,-29.5329,336.753,228.261,1431.34,0
0.715,-3.52786,29.658,314.685,232.16,971.216,0,-3.39521,-29.3758,332.048,226.951,1430.68,0
0.72,-3.23394,28.7731,308.342,232.327,971.954,0,-3.05983,-28.7693,328.663,226.744,1431.12,0
0.725,-2.37239,28.5277,308.156,231.553,971.017,0,-2.00445,-28.4278,327.236,226.061,1430.95,0
0.73,-2.30702,27.6111,307.302,231.349,970.555,0,-2.06093,-28.4247,325.501,225.835,1431.29,0
0.735,-1.77233,26.2309,305.166,230.673,971.008,0,-1.22017,-27.253,322.905,225.695,1431.86,0
0.74,-1.93812,25.4247,302.542,231.299,971.229,0,-0.482233,-26.3267,320.545,225.533,1430.73,0
0.745,-1.63141,25.0232,302.62,231.488,971.547,0,-0.449489,-25.9453,321.35,225.292,1432.95,0
0.75,-1.06958,23.9546,298.979,231.909,971.902,0,0.123979,-25.4204,320.349,225.097,1432.64,0
0.755,-1.75517,23.0346,297.281,232.211,972.677,0,0.0886042,-25.3983,318.861,225.011,1432.45,0
0.76,-2.24229,22.6763,296.278,233.02,972.032,0,0.424202,-25.3004,317.724,224.982,1431.57,0
0.765,-2.60871,21.8368,296.456,233.565,971.506,0,0.443288,-25.1975,318.061,224.308,1432.69,0
0.77,-3.29977,21.7232,295.038,232.201,972.192,0,0.89931,-25.6173,316.091,224.753,1432.35,0
0.775,-3.85526,21.2843,293.253,233.855,972.167,0,1.19158,-25.8399,315.754,224.259,1432.82,0
0.78,-4.42273,20.637,294.127,234.19,972.194,0,0.718859,-25.9666,316.879,223.732,1433.26,0
0.785,-5.04508,20.6773,293.453,234.305,972.456,0,0.735274,-26.0037,315.418,223.992,1432.37,0
