Frame number,1467
First frame,1
Point frequency,200
Analog frequency,1000

Time,Moment.Mx2,Moment.My2,Moment.Mz2,Moment.Mx3,Moment.My3,Moment.Mz3
s,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm
0,-16295.9,-6225.73,802.048,13712,1691.4,-1677.05
0.001,-16178.6,-6359.37,859.787,13701.3,1575.51,-1604.41
0.002,-16340.9,-6299.26,877.119,13692.6,1749.83,-1678.87
0.003,-16512.9,-6095.64,863.386,13723.4,1838.39,-1709.85
0.004,-16156.5,-6161.17,871.114,13873.2,1773.57,-1596.71
0.005,-16203.2,-6245.14,848.657,13857.2,1629.79,-1671.22
0.006,-16304.2,-6211.2,866.07,13841.7,1762.09,-1740.68
0.007,-16509.1,-6180.42,861.371,13765.6,1752.96,-1719.12
0.008,-16444.8,-6280.83,907.652,13743.8,1748.88,-1708.44
0.009,-16362.4,-6212.34,885.672,13697.5,1840.79,-1727.61
0.01,-16182.7,-6208.38,912.588,13653.3,1945.51,-1719.23
0.011,-16060.9,-6214.25,901.041,13734.6,1761.28,-1660.95
0.012,-16229.5,-6237.92,905.338,13729,1856.86,-1711.83
0.013,-16327.7,-6458.49,893.1,13705.6,1808.06,-1618.97
0.014,-16349.5,-6285.23,877.182,13659.4,1756.7,-1662.69
0.015,-16384.5,-6073.59,876.071,13756.8,1798.06,-1785.62
0.016,-16239.2,-5981.35,876.568,13791.6,1881.74,-1752.88
0.017,-16313.8,-6232.92,910.835,13712.2,1893.36,-1765.93
0.018,-16233.7,-6167.2,899.321,13604,1993.34,-1748.33
0.019,-16376,-6159.11,841.654,13629.9,1816.22,-1602.47
0.02,-16457.9,-6225.05,875.429,13682.8,1644.11,-1688.35
0.021,-16482.9,-6326.41,889.365,13498.4,1768.63,-1779.04
0.022,-16383.6,-6159.79,879.845,13723.8,2046.56,-1672.43
0.023,-16418.9,-6267.59,912.604,13363.6,2069.49,-1698.71
0.024,-16196.9,-6194.79,926.264,13593.7,1843.62,-1744.52
0.025,-16215.9,-6169.5,976.391,13588.9,1991.92,-1677.02
0.026,-16283.2,-6152.74,928.916,13501.6,1999.37,-1779.61
0.027,-16231.1,-6284.02,933.739,13723.6,1812.41,-1736.86
0.028,-16350.4,-6203.18,916.495,13609.8,1915.62,-1746.09
0.029,-16335.2,-5975.02,909.937,13769.1,1973.82,-1787.34
0.03,-16275.6,-6252.67,957.387,13721,1883.83,-1765.25
0.031,-16199.7,-6158.53,986.978,13735.6,1825.2,-1688.56
0.032,-16317.6,-5956.11,918.208,13658.5,1919.68,-1767.63
0.033,-16104.1,-6003.83,944.509,13675,2061.87,-1672.76
0.034,-16041.7,-6112.81,946.024,13655.2,2154.75,-1729.75
0.035,-16245.7,-6037.78,905.167,13794.8,2027.11,-1773.31
0.036,-16381.2,-5997.52,956.59,13475.5,1882.55,-1714.72
0.037,-16497.6,-6041.17,925.996,13574.3,1875.26,-1693.07
0.038,-16200.7,-6009.43,924.325,13489.2,1810.3,-1721.89
0.039,-16174.4,-5945.93,916.288,13564,1861.6,-1700.94
0.04,-16165.9,-5862.29,901.756,13710.8,1966.93,-1755.34
0.041,-16325.6,-5929.8,870.549,13612.2,2003.03,-1794.1
