Frame number,1661
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,-13.1944,55.8353,320.889,258.561,983.05,0,4.86941,-55.6613,263.574,196.378,1444.57,0
0.005,-13.4305,55.6596,322.158,257.644,982.456,0,4.97866,-55.6991,263.723,196.315,1443.64,0
0.01,-13.6366,55.653,321.994,257.547,981.911,0,4.56607,-55.8726,264.827,195.521,1444.05,0
0.015,-12.9812,56.3511,321.855,257.723,981.96,0,4.62587,-56.1718,266.794,194.679,1443.81,0
0.02,-13.2672,56.194,321.297,257.05,982.068,0,4.57632,-56.6685,265.779,194.571,1443.77,0
0.025,-13.0194,56.4963,323.096,256.537,981.655,0,4.99561,-56.6919,268.938,194.083,1445.31,0
0.03,-13.169,56.2725,322.082,256.778,981.24,0,4.92112,-57.0364,267.649,193.479,1445.15,0
0.035,-13.0789,56.3214,323.031,256.183,981.711,0,4.37265,-57.4828,268.258,192.764,1445.24,0
0.04,-13.2299,56.6262,324.384,256.082,981.255,0,4.73528,-56.8624,269.586,191.594,1445.32,0
0.045,-13.223,56.544,323.146,256.295,981.59,0,4.9464,-57.6543,269.807,191.09,1446.76,0
0.05,-12.7315,56.7149,324.496,256.011,981.303,0,4.68355,-57.8682,270.365,190.895,1446.45,0
0.055,-12.989,56.5321,325.399,255.048,981.066,0,4.86603,-57.5535,270.804,190.067,1447.56,0
0.06,-13.221,56.3617,323.874,255.84,981.084,0,4.78129,-57.8264,270.727,188.814,1447.32,0
0.065,-13.0615,56.3184,323.875,255.794,981.474,0,5.32664,-58.0937,270.635,187.792,1448.26,0
0.07,-13.1036,56.2978,325.635,255.393,981.69,0,5.40613,-58.1497,270.923,186.661,1447.89,0
0.075,-13.0852,56.4097,324.807,255.557,981.72,0,5.46136,-59.3348,271.495,185.87,1448.29,0
0.08,-13.2411,56.9724,326.982,255.125,981.212,0,5.50326,-60.2989,273.017,184.532,1450,0
0.085,-13.0051,56.773,327.999,255.608,981.489,0,5.37805,-60.9012,273.188,182.307,1449.48,0
0.09,-13.2678,56.8828,329.092,254.985,981.008,0,5.84163,-61.6641,274.306,180.727,1449.98,0
0.095,-13.3208,56.6292,329.278,255.473,981.036,0,6.35202,-61.7567,275.679,178.255,1451.61,0
0.1,-13.3407,56.6483,327.436,255.581,981.718,0,7.33109,-61.7093,272.673,175.545,1451.35,0
0.105,-13.7153,56.3578,326.804,256.425,981.472,0,7.73277,-61.0219,273.123,173.841,1451.52,0
0.11,-13.7556,56.0457,325.719,255.578,981.735,0,8.58264,-60.2469,273.992,172.034,1451.53,0
0.115,-14.0016,55.8085,325.368,256.062,981.089,0,9.05338,-59.509,271.56,169.988,1452.44,0
0.12,-13.8852,55.8778,323.623,256.498,981.252,0,10.5188,-58.5817,270.918,168.079,1452.43,0
0.125,-13.7431,54.938,323.436,255.92,981.924,0,11.1786,-57.8288,269.562,166.372,1451.47,0
0.13,-13.7865,54.8874,322.7,256.494,981.776,0,11.5748,-57.4791,270.008,165.206,1452.07,0
0.135,-13.9124,54.6558,322.066,256.405,981.974,0,12.6372,-57.0865,268.294,163.051,1452.26,0
0.14,-14.071,54.1938,321.35,256.747,982.904,0,12.8142,-56.3766,266.235,161.368,1453.08,0
0.145,-13.9385,53.7338,324.484,255.884,981.747,0,13.1265,-56.6572,266.843,158.967,1453.52,0
0.15,-14.1451,54.329,324.195,256.784,982.322,0,13.651,-56.9331,264.408,157.365,1452.98,0
0.155,-14.3594,54.4352,326.589,256.776,981.788,0,13.8307,-57.2201,262.433,155.764,1453.12,0
0.16,-14.4236,54.4963,326.682,257.072,981.842,0,14.2283,-57.1439,260.745,153.925,1454.04,0
0.165,-14.276,54.5877,326.411,257.683,982.653,0,14.886,-57.1441,259.581,151.828,1453.18,0
0.17,-14.8188,54.2055,327.884,257.728,981.697,0,15.2272,-56.8611,258.43,150.149,1453.86,0
0.175,-15.2675,54.4607,329.543,257.977,982.261,0,13.4741,-59.4863,255.723,148.993,1454.32,0
0.18,-15.3813,54.6787,329.72,258.073,982.806,0,14.6417,-59.5925,254.551,147.237,1453.61,0
0.185,-15.8268,54.4579,329.722,258.43,982.728,0,15.3533,-58.9192,253.861,146.383,1453.32,0
0.19,-16.083,54.4532,330.279,258.036,982.464,0,16.024,-58.9491,253.831,145.7,1453.97,0
0.195,-16.7923,54.2155,329.824,258.736,983.01,0,16.1044,-56.6096,252.682,144.855,1453.09,0
0.2,-16.7346,54.4487,329.632,259.061,981.716,0,16.2082,-55.7485,252.089,143.845,1452.82,0
0.205,-16.9448,54.1427,329.544,259.189,982.648,0,17.1093,-53.6513,250.445,143.918,1452.74,0
0.21,-16.9182,53.9176,329.025,258.85,982.558,0,17.741,-51.9212,250.478,143.095,1451.22,0
0.215,-17.0553,53.9854,328.079,259.11,982.623,0,18.2022,-50.1561,250.251,142.219,1451.21,0
0.22,-17.2193,53.8027,328.83,258.427,982.61,0,19.0705,-48.2134,250.092,141.574,1451.25,0
0.225,-16.8963,53.5886,329.649,258.157,982.275,0,20.1581,-47.7571,250.696,141.117,1450.69,0
0.23,-16.9244,53.9714,330.119,258.201,981.969,0,20.0499,-47.4953,251.614,140.469,1450.51,0
0.235,-16.8125,53.7498,328.813,257.726,982.179,0,20.4548,-47.0992,248.591,139.875,1449.37,0
0.24,-16.738,53.8755,330.195,257.564,981.868,0,20.0601,-47.0996,247.221,139.284,1450.39,0
0.245,-16.4296,53.8784,331.745,257.17,981.365,0,20.6786,-47.948,247.62,140.295,1450.06,0
0.25,-16.4808,53.8994,332.766,257.046,980.81,0,20.1959,-48.662,245.204,139.189,1450.37,0
0.255,-16.1044,54.5353,333.503,256.289,980.95,0,20.2604,-49.5454,243.817,139.63,1450.73,0
0.26,-15.9118,54.8136,334.941,255.943,980.883,0,19.6443,-50.3892,242.396,139.671,1451.67,0
0.265,-16.1781,54.7402,335.514,255.758,980.643,0,19.1999,-51.9505,240.563,139.929,1450.52,0
0.27,-16.2536,55.3709,335.951,255.49,980.543,0,18.4009,-52.4676,238.267,140.204,1450.59,0
0.275,-16.1019,55.5681,338.013,254.903,979.975,0,17.8827,-52.7227,237.094,140.169,1451.39,0
0.28,-16.0286,56.1649,339.408,255.085,980.174,0,17.2527,-52.372,235.095,141.071,1451.04,0
0.285,-16.02,56.7867,340.615,254.929,980.021,0,16.5152,-51.8016,232.877,141.971,1451.01,0
0.29,-16.2905,57.2955,342.011,254.114,979.971,0,16.4183,-52.01,230.343,142.194,1450.85,0
0.295,-15.9857,58.4782,345.877,254.253,979.463,0,15.3515,-52.09,232.093,143.752,1452.3,0
0.3,-16.5812,58.7736,343.694,254.016,980.015,0,15.0627,-51.5491,230.446,144.663,1451.14,0
0.305,-16.3123,59.2577,347.96,253.522,978.705,0,15.1621,-51.2421,231.022,145.077,1450.06,0
0.31,-16.2701,60.4173,346.57,253.765,980.451,0,14.5473,-51.2119,233.625,146.762,1451.03,0
0.315,-16.5238,60.4476,348.907,254.021,979.362,0,14.6443,-50.9484,233.893,147.981,1449.83,0
0.32,-16.7753,60.5205,350.36,253.09,979.051,0,14.4515,-50.1014,236.493,149.644,1450.55,0
0.325,-16.8999,60.9798,351.777,253.136,978.75,0,14.3672,-50.4375,238.784,149.606,1451.52,0
0.33,-16.8611,61.296,351.738,252.937,979.007,0,14.3759,-51.086,240.391,151.024,1449.73,0
0.335,-17.0241,61.2414,352.141,252.305,978.857,0,13.9884,-50.9605,242.302,151.982,1450.22,0
0.34,-16.7729,61.0702,351.856,252.176,978.795,0,13.4497,-51.2422,242.581,152.308,1451.3,0
0.345,-16.135,61.4329,351.575,251.839,977.656,0,13.2106,-51.462,243.304,153.094,1451.26,0
0.35,-15.9284,61.6007,352.862,251.423,977.771,0,12.9924,-51.5984,243.394,154.173,1451.06,0
