Frame number,1853
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.275,-2.04572,53.0863,298.676,228.763,978.067,0,-0.373028,-52.8135,266.929,211.198,1430.41,0
0.28,-2.61937,52.9705,298.394,228.012,977.86,0,-0.512192,-52.8172,268.53,212.12,1430.41,0
0.285,-1.94654,53.439,296.98,228.186,977.904,0,-0.73392,-53.3801,267.581,210.934,1430.37,0
0.29,-2.36095,52.9512,298.825,228.147,977.981,0,-0.0958339,-52.584,266.809,211.618,1430.35,0
0.295,-2.34655,53.3451,298.451,228.641,977.256,0,-0.648287,-52.6734,266.339,211.179,1429.58,0
0.3,-2.17059,53.2359,297.145,228.59,977.699,0,-0.687433,-52.4475,268.159,211.413,1430.91,0
0.305,-2.28219,53.0034,296.462,228.182,978.107,0,-0.846384,-52.939,266.315,211.835,1429.91,0
0.31,-2.4615,52.8444,295.737,228.404,977.56,0,-0.893397,-52.8742,265.244,212.514,1429.64,0
0.315,-2.58532,52.916,296.098,228.279,978.565,0,-0.827167,-52.3683,266.977,211.218,1430.06,0
0.32,-2.65117,52.8947,295.055,229.088,977.463,0,-0.708286,-52.4659,266.507,212.155,1429.83,0
0.325,-2.41687,53.2173,293.472,228.652,977.507,0,-0.264135,-52.747,267.552,211.478,1430.19,0
0.33,-2.28497,52.6848,295.595,228.969,977.384,0,-0.438373,-53.0082,267.62,211.868,1429.87,0
0.335,-2.41057,52.608,296.11,228.459,978.313,0,-0.15657,-53.1037,266.599,211.892,1429.86,0
0.34,-2.68666,52.8677,295.429,229.131,977.851,0,-0.293625,-52.7227,267.309,211.679,1432.05,0
0.345,-2.59057,52.259,294.125,229.046,978.524,0,-0.332739,-53.1235,267.891,211.466,1430.01,0
0.35,-2.38791,52.5928,295.007,229.026,978.374,0,-0.674654,-53.0468,268.212,212.046,1430.49,0
0.355,-2.57221,52.7119,294.213,229.132,978.487,0,-0.359611,-53.3693,266.919,211.876,1429.83,0
0.36,-2.80475,53.1382,294.993,228.981,978.531,0,-0.436926,-53.5263,266.365,212.186,1428.89,0
0.365,-3.15192,52.5119,295.266,229.189,978.578,0,-0.5579,-53.1545,266.618,212.438,1430.02,0
0.37,-2.90061,52.6645,296.897,229.148,978.073,0,-1.30037,-52.7502,267.577,212.239,1429.49,0
0.375,-2.94317,53.0769,295.736,229.015,978.206,0,-0.554859,-53.1158,267.84,212.281,1429.95,0
0.38,-2.62443,52.8532,296.438,229.302,978.519,0,-1.23472,-53.076,267.533,212.099,1430.08,0
0.385,-3.1838,52.6208,295.687,229.499,979.349,0,-0.646553,-53.2053,267.581,212.677,1430.16,0
0.39,-3.26597,53.2308,296.573,229.197,978.093,0,-0.766518,-52.9654,268.169,212.411,1429.95,0
0.395,-3.03665,53.1027,297.481,228.847,978.975,0,-1.27666,-52.9188,267.152,212.04,1430.66,0
0.4,-2.721,52.7936,296.986,229.006,978.029,0,-1.02315,-52.8619,268.1,212.625,1431.24,0
0.405,-2.88753,52.7345,296.196,229.535,978.224,0,-0.951835,-52.7742,268.002,212.106,1429.85,0
0.41,-2.92759,52.8806,296.44,229.073,978.692,0,-0.718802,-52.8081,269.051,211.857,1430.53,0
0.415,-2.72161,53.2708,296.242,228.919,978.986,0,-0.695821,-53.0782,270.477,211.89,1430.63,0
0.42,-3.08407,52.6804,296.844,229.35,978.389,0,-0.869769,-52.7769,268.31,211.629,1430.06,0
0.425,-3.16913,52.7159,295.941,229.087,979.156,0,-0.576257,-52.9607,268.579,212.061,1430.25,0
0.43,-2.6973,52.9563,297.293,228.938,978.327,0,-0.827673,-52.9458,267.721,212.072,1430.92,0
0.435,-3.05726,52.4272,297.354,228.917,978.093,0,-0.393323,-52.6955,268.941,211.629,1430.54,0
0.44,-3.23085,52.7316,295.532,229.571,978.35,0,-0.527714,-53.1061,267.141,211.872,1429.56,0
0.445,-3.2158,52.896,297.344,229.044,978.331,0,-0.245902,-52.7725,267.703,212.086,1430.84,0
0.45,-2.97225,53.0712,298.125,229.039,978.506,0,-0.0745564,-52.7105,268.756,212.471,1430.43,0
0.455,-3.10786,52.7047,296.015,229.128,978.418,0,-0.925288,-52.7323,267.714,212.311,1430.44,0
0.46,-3.05657,52.8402,298.266,229.291,978.18,0,-0.755879,-52.3822,267.276,211.791,1429.76,0
0.465,-3.2199,53.0638,295.917,228.906,978.418,0,-0.750395,-52.6339,267.893,212.548,1429.87,0
0.47,-2.78007,53.3159,297.56,229.304,977.59,0,-0.84047,-52.5233,269.145,211.975,1430.15,0
0.475,-3.33829,53.131,297.51,228.796,978.229,0,-1.08903,-52.7202,267.904,212.388,1429.75,0
0.48,-2.97856,53.425,297.74,228.881,978.99,0,-1.36959,-52.8478,268.746,211.535,1430.29,0
0.485,-3.10841,53.1874,297.608,228.345,977.929,0,-1.09521,-52.2375,268.22,212.194,1430.19,0
0.49,-3.21539,52.6572,297.152,229.032,977.947,0,-1.33853,-52.488,267.292,211.922,1429.32,0
0.495,-2.71794,53.2238,299.107,228.228,977.374,0,-1.10086,-52.4311,269.304,212.246,1430.49,0
0.5,-2.93739,52.8206,297.516,228.188,977.235,0,-1.49423,-52.4811,269.225,212.486,1431.02,0
0.505,-2.9686,53.0713,298.621,228.967,977.49,0,-1.24194,-52.4482,268.326,212.311,1430.74,0
0.51,-2.81549,53.6092,297.121,228.081,977.974,0,-1.32307,-52.3376,267.695,212.777,1429.26,0
0.515,-2.74426,53.4429,298.504,227.554,977.221,0,-1.01806,-52.5628,269.158,211.915,1429.43,0
0.52,-2.9878,53.1402,298.677,227.254,977.109,0,-1.06246,-52.2839,266.536,211.866,1429.58,0
0.525,-2.86167,53.3798,298.638,226.968,976.688,0,-0.957866,-52.4804,266.853,211.385,1429.99,0
0.53,-2.9964,53.4673,298.938,226.309,976.985,0,-1.00875,-52.9912,267.919,211.7,1430.48,0
0.535,-2.82452,53.5104,300.005,225.279,975.855,0,-1.37566,-52.4977,267.184,210.895,1431.53,0
0.54,-2.47743,53.9523,300.638,224.034,976,0,-0.321536,-52.6762,269.045,211.451,1431.88,0
0.545,-2.56135,53.5249,301.774,224.591,975.707,0,-0.938728,-51.9253,269.855,210.191,1431.13,0
0.55,-2.2017,53.3915,302.13,223.546,975.824,0,-1.1497,-52.1822,267.951,210.315,1431.78,0
0.555,-2.24668,53.668,302.288,222.293,974.948,0,-0.577985,-52.2758,267.335,210.464,1430.25,0
0.56,-1.79515,53.7173,304.072,221.438,974.779,0,-0.429349,-51.9987,266.988,209.138,1430.4,0
0.565,-1.64595,54.3976,307.106,220.377,974.204,0,-0.545068,-51.8901,266.624,208.873,1431.4,0
0.57,-1.78197,55.0595,307.964,219.131,973.268,0,-0.574034,-51.9114,266.126,208.875,1431,0
0.575,-1.0904,55.1409,307.116,217.202,973.73,0,-0.605224,-52.0295,267.679,208.709,1432.73,0
0.58,-0.821028,55.7694,309.178,216.007,973.196,0,-0.686073,-51.7871,267.834,208.528,1432.04,0
0.585,-1.03009,55.7163,309.591,214.675,972.339,0,-0.49027,-51.4932,264.176,207.487,1431.2,0
0.59,0.119879,56.4069,311.328,213.08,971.46,0,-0.872987,-50.763,263.822,207.343,1431.24,0
0.595,0.576818,56.6209,309.88,211.378,971.792,0,-1.07753,-50.8656,266.642,207.8,1432.09,0
0.6,1.32841,57.0133,308.631,210.123,970.002,0,-0.655314,-50.8837,265.183,207.766,1432.01,0
0.605,2.0862,56.8316,311.285,209.213,969.532,0,-0.65224,-50.4362,264.086,206.67,1432.4,0
0.61,3.03039,57.0742,309.626,207.912,969.714,0,-0.802486,-50.8166,263.044,206.666,1432.71,0
0.615,2.98694,57.608,309.038,206.033,969.554,0,0.00229974,-50.3252,260.708,206.28,1431.95,0
0.62,3.76602,57.5204,308.624,205.51,968.409,0,-0.493622,-49.7839,261.319,205.894,1432.11,0
0.625,4.39631,57.9945,307.953,204.569,969.023,0,-0.718079,-49.6683,259.474,206.232,1431.65,0
0.63,4.66334,57.9657,309.946,203.49,967.45,0,-0.293074,-49.4721,260.066,205.764,1431.1,0
0.635,5.10874,57.6023,309.047,201.945,967.434,0,-0.999561,-49.208,260.21,206.57,1431.39,0
0.64,5.46565,57.4526,308.35,202.526,967.972,0,-0.932351,-48.9323,259.024,206.646,1431.44,0
0.645,5.89788,56.9531,306.652,201.406,968.537,0,-1.72007,-48.3559,259.379,206.68,1431.67,0
0.65,6.10532,56.9974,303.815,200.846,968.045,0,-1.92645,-48.6484,258.615,207.118,1430.97,0
0.655,5.69505,56.6797,305.338,200.674,967.928,0,-1.90367,-48.2872,260.122,208.148,1430.81,0
0.66,5.72118,56.355,302.655,200.363,967.67,0,-1.37071,-48.0652,262.301,207.739,1431.11,0
0.665,6.10895,55.6658,302.844,200.131,967.735,0,-0.616817,-48.2056,261.434,207.808,1429.74,0
0.67,5.63524,55.5564,301.188,200.238,967.662,0,0.0840357,-48.2152,262.188,207.64,1429.74,0
0.675,5.40328,54.9724,300.979,199.784,967.901,0,0.109639,-48.6336,261.914,207.402,1430.14,0
0.68,5.05605,54.3793,299.822,199.927,968.347,0,0.486715,-48.5594,261.958,207.248,1430.33,0
0.685,4.73344,53.8408,300.219,200.949,968.114,0,1.08729,-48.2366,262.514,206.133,1429.96,0
0.69,3.88058,53.1068,299.56,200.697,968.06,0,1.62336,-48.3545,259.979,206.119,1429.86,0
0.695,3.69806,52.6645,299.285,200.972,968.478,0,1.8718,-47.6928,260.397,205.422,1430.18,0
0.7,3.03181,51.5129,297.33,201.511,968.774,0,2.27346,-47.3352,259.573,205.297,1429.85,0
0.705,2.34308,50.7694,296.663,201.881,969.367,0,2.58908,-47.565,258.266,204.817,1430.08,0
0.71,1.40382,50.4226,293.798,202.407,969.561,0,2.323,-47.3019,258.948,204.63,1430.35,0
0.715,0.587439,49.2817,291.143,202.729,969.764,0,1.4817,-46.8978,258.348,204.351,1431.31,0
0.72,-0.484914,48.5173,290.62,203.31,969.694,0,1.51712,-46.4939,256.524,204.967,1430.94,0
0.725,-1.16349,47.867,287.451,204.882,971.154,0,0.852994,-46.3869,254.352,205.892,1430.4,0
0.73,-1.69419,46.7764,283.899,203.709,970.926,0,0.21533,-45.7244,255.8,205.809,1430.1,0
0.735,-1.82269,45.6836,279.2,204.057,970.615,0,-1.0763,-44.6601,253.071,206.35,1429.44,0
0.74,-2.33951,44.5463,272.51,204.459,972.142,0,-1.75664,-44.4294,251.242,207.635,1429.7,0
0.745,-3.23938,42.9305,268.13,203.69,971.395,0,-2.72905,-43.3188,249.719,207.394,1428.09,0
0.75,-2.56047,41.8453,261.756,203.024,971.151,0,-5.08526,-42.3148,245.631,208.299,1427.5,0
0.755,-5.9845,40.192,254.481,204.094,971.962,0,-6.60499,-40.8999,244.82,210.433,1426.42,0
0.76,-7.28001,36.8141,246.257,204.3,972.4,0,-7.85335,-39.5687,241.708,211.367,1426.24,0
0.765,-7.55084,34.8754,236.852,204.713,972.925,0,-8.53885,-39.0931,235.849,212.248,1425.21,0
0.77,-8.39184,32.4784,230.038,203.851,973.879,0,-9.06026,-36.8178,230.821,212.451,1425.54,0
0.775,-7.56659,30.2247,219.001,202.744,973.551,0,-9.19227,-35.9561,226.56,212.34,1425.02,0
0.78,-8.12123,27.7645,208.613,202.09,973.139,0,-8.52802,-34.7849,221.566,210.924,1424.78,0
0.785,-8.42877,25.8299,198.573,201.577,971.891,0,-7.56902,-33.3752,216.781,208.928,1425.66,0
0.79,-7.90577,22.8863,186.65,199.686,973.835,0,-6.73738,-32.7477,212.226,208.593,1425.75,0
0.795,-7.42681,20.9825,176.569,198.427,972.82,0,-5.74941,-32.1767,206.443,205.742,1426.84,0
0.8,-5.41536,19.1494,164.053,196.66,974.287,0,-4.93704,-31.2497,203.402,205.235,1426.87,0
0.805,-4.22355,17.4742,154.928,192.917,975.231,0,-4.4249,-30.4258,199.172,203.576,1428.12,0
0.81,-2.46096,16.4225,144.745,189.859,975.649,0,-4.4959,-29.8081,193.32,201.52,1428.08,0
0.815,0.139407,15.7412,137.79,187.406,975.211,0,-4.62379,-29.1543,188.781,202.213,1429.71,0
0.82,3.0462,15.0882,132.47,183.312,972.704,0,-4.50266,-28.2956,181.119,201.167,1425.54,0
0.825,5.65305,14.8049,127.416,180.648,974.999,0,-4.83494,-28.2421,175.84,201.907,1426.13,0
0.83,8.83101,14.9569,125.356,179.444,976.136,0,-4.77456,-27.3694,172.389,203.826,1425.13,0
0.835,10.5563,15.7152,127.719,180.728,977.017,0,-4.80194,-26.8753,168.383,203.614,1424.03,0
0.84,11.6546,16.2702,129.845,182.703,979.691,0,-3.77992,-26.8192,166.872,205.531,1424.04,0
0.845,11.8537,17.0824,137.083,185.723,981.047,0,-2.51141,-26.4249,164.511,205.587,1423.72,0
0.85,11.1904,17.7997,144.5,192.264,982.408,0,-1.25261,-26.9725,162.216,207.158,1421.88,0
0.855,10.0169,19.6879,155.516,196.761,982.757,0,0.359568,-26.6218,161.587,208.59,1422.17,0
