Frame number,1467
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,-7.16939,57.2183,274.885,220.819,962.053,0,2.78492,-57.1846,264.239,192.686,1454.06,0
0.005,-7.20343,57.5785,275.016,220.828,961.682,0,2.52989,-57.0201,264.223,192.906,1453.51,0
0.01,-7.37284,57.226,275.123,220.656,961.574,0,2.96517,-56.9767,263.356,191.714,1454.11,0
0.015,-7.75582,57.4472,275.11,220.183,962.3,0,2.86881,-56.9967,264.469,192.229,1453.93,0
0.02,-7.48465,57.7541,275.543,220.679,962.481,0,2.94932,-57.063,263.327,192.83,1453.99,0
0.025,-7.37237,57.6554,276.282,220.38,961.444,0,2.83598,-57.2957,263.199,191.566,1454.33,0
0.03,-7.59883,57.877,274.996,220.743,961.923,0,2.95313,-56.7927,263.623,191.913,1453.9,0
0.035,-7.44948,57.7339,275.648,220.006,961.692,0,2.83693,-56.9799,264.398,191.408,1453.78,0
0.04,-7.66603,57.7363,278.23,219.238,960.859,0,3.35988,-57.1037,265.513,191.695,1454.31,0
0.045,-7.32925,58.2358,276.438,219.631,961.682,0,3.08138,-57.3815,263.765,191.856,1453.88,0
0.05,-7.48276,58.0953,275.25,219.507,962.097,0,3.10529,-57.0833,262.705,191.3,1454.29,0
0.055,-7.35328,58.1587,276.628,219.058,961.402,0,3.48561,-57.2601,263.926,190.883,1454.55,0
0.06,-7.66122,57.8166,276.66,219.677,961.747,0,3.21807,-57.0371,262.824,191.462,1455.4,0
0.065,-7.28363,58.2597,275.902,219.841,961.527,0,3.30319,-57.0126,262.725,191.214,1454.6,0
0.07,-7.36925,58.0819,276.633,218.989,962.395,0,3.49474,-56.8471,263.528,190.69,1454.2,0
0.075,-7.27026,58.2206,277.922,219.416,960.854,0,3.12274,-57.0888,263.566,191.383,1455.04,0
0.08,-6.97633,58.5471,277.263,219.283,961.556,0,3.158,-56.8137,262.615,190.013,1454.51,0
0.085,-6.77941,58.7347,278.281,219.523,961.293,0,3.06706,-56.7477,262.523,189.522,1454.75,0
0.09,-6.91414,58.7486,277.172,219.6,961.57,0,2.93018,-56.8182,263.364,190.299,1454.47,0
0.095,-7.17005,58.7906,277.277,219.332,961.179,0,3.23849,-57.0576,262.437,191.036,1454.29,0
0.1,-7.03471,58.7963,278.474,219.042,961.109,0,3.08392,-57.1335,262.357,190.669,1454.8,0
0.105,-7.51358,58.8246,277.452,219.192,960.717,0,3.26821,-56.8101,262.882,190.055,1454.42,0
0.11,-7.07449,58.6181,278.18,218.625,961.826,0,3.17261,-57.1528,262.807,191.074,1454.45,0
0.115,-6.97202,58.6504,277.722,218.161,960.666,0,3.3788,-56.7852,263.362,190.571,1454.41,0
0.12,-7.14854,58.7297,278.837,218.7,961.071,0,3.11217,-56.9488,263.18,190.338,1454.02,0
0.125,-7.25348,58.4312,277.449,218.762,961.14,0,2.97478,-56.6113,262.425,190.459,1454.27,0
0.13,-6.96559,58.956,279.015,219.339,961.613,0,3.36917,-56.7151,264.265,190.503,1453.69,0
0.135,-7.16562,58.7471,277.441,219.106,961.322,0,3.02637,-57.0919,263.161,190.24,1453.91,0
0.14,-7.61705,58.3301,279.113,218.597,960.708,0,3.2381,-56.9722,264.737,190.22,1454.28,0
0.145,-7.36688,58.4952,278.472,218.641,961.511,0,3.23564,-57.1963,262.976,190.198,1454.14,0
0.15,-7.02307,58.4301,278.19,219.489,960.886,0,3.69265,-56.9155,264.168,189.992,1454.89,0
0.155,-7.24384,58.6173,278.377,218.099,960.606,0,3.4086,-56.8108,263.268,190.438,1455.41,0
0.16,-7.12242,58.3242,278.11,218.746,960.629,0,3.64732,-57.4576,262.511,189.044,1454.53,0
0.165,-7.60021,58.4033,278.464,218.095,960.545,0,3.67099,-57.1661,261.695,189.705,1454.64,0
0.17,-7.03072,58.4196,277.262,218.433,961.781,0,3.30865,-57.0645,262.913,189.593,1455.4,0
0.175,-7.40943,58.1173,277.629,218.204,961.049,0,3.68932,-57.1943,263.255,189.244,1455.44,0
0.18,-7.40695,58.2356,276.438,217.697,961.683,0,2.9701,-57.0309,261.928,189.073,1455.8,0
0.185,-7.06615,58.4511,278.535,217.521,960.836,0,3.20236,-57.4933,262.547,189.092,1454.92,0
0.19,-6.91085,58.4117,276.999,217.431,959.878,0,3.58882,-57.0845,263.266,188.755,1455.26,0
0.195,-7.05289,58.1837,277.119,217.453,960.987,0,3.04779,-57.269,263.437,189.012,1453.8,0
0.2,-7.11236,58.3408,278.004,216.887,960.466,0,3.00927,-57.0665,262.076,188.875,1454.86,0
0.205,-7.1132,58.5019,277.426,216.812,960.551,0,2.89748,-57.2323,263.021,189.027,1455.56,0
0.21,-6.9571,58.3429,276.185,217.052,960.61,0,2.66221,-57.3594,265.465,188.79,1455.46,0
0.215,-7.33698,58.6799,277.884,216.583,960.664,0,2.83944,-57.2121,264.866,189.078,1454.71,0
0.22,-7.06534,58.1547,279.182,216.093,960.623,0,3.29563,-57.6087,263.639,187.783,1454.55,0
0.225,-7.05338,58.8516,277.504,215.662,961.369,0,3.20105,-57.309,265.249,187.651,1454.79,0
0.23,-6.87871,58.3131,279.063,214.815,960.072,0,3.66998,-57.5747,264.858,187.202,1455.43,0
0.235,-6.90158,58.9392,278.139,214.498,960.069,0,3.95576,-57.5675,265.392,186.889,1455.39,0
0.24,-6.79748,59.1362,279.791,213.342,959.992,0,4.00489,-58.059,266.917,186.535,1456.23,0
0.245,-6.87017,59.1504,279.867,212.267,959.505,0,4.4742,-57.9218,266.601,185.007,1456.02,0
0.25,-7.0831,58.8776,279.08,211.595,959.464,0,5.06147,-57.6883,266.158,184.966,1456.44,0
0.255,-6.34941,59.6226,281.012,210.801,958.724,0,5.23187,-58.2713,266.092,183.453,1456.65,0
0.26,-6.08168,59.3404,281.737,209.623,958.075,0,5.4166,-57.7323,265.681,182.666,1455.97,0
0.265,-5.46495,59.3734,280.223,208.329,958.603,0,5.74744,-57.8237,266.084,182.151,1456.45,0
0.27,-5.30826,59.3492,280.074,207.225,957.567,0,5.76379,-57.786,265.625,180.57,1456.13,0
0.275,-4.90779,59.2253,280.372,206.358,957.406,0,6.05409,-57.8855,264.61,179.778,1456.65,0
0.28,-4.45726,59.3035,278.872,205.657,957.757,0,6.1685,-57.6769,263.895,179.615,1457.08,0
0.285,-4.33241,59.7291,280.212,204.033,956.664,0,6.63042,-57.2126,265.729,178.821,1456.67,0
0.29,-4.20205,59.2576,279.785,202.655,955.952,0,6.67813,-57.339,263.5,177.644,1456.94,0
0.295,-3.83722,59.3763,278.363,201.8,957.259,0,6.98608,-57.5062,263.905,177.05,1457.49,0
0.3,-3.9495,59.0766,279.934,201.011,955.665,0,6.89669,-57.359,263.94,177.071,1457.27,0
0.305,-3.77027,59.8594,279.706,199.908,955.79,0,7.05577,-57.384,264.448,176.17,1458.29,0
0.31,-3.96911,59.7544,279.364,199.007,955.919,0,6.96878,-56.6386,263.756,175.684,1458.15,0
0.315,-3.289,60.0077,280.25,198.418,954.945,0,7.10447,-56.691,263.142,174.712,1458.03,0
0.32,-2.70181,60.0588,280.731,197.254,955.596,0,7.03751,-56.4351,263.236,174.092,1458.78,0
0.325,-2.51729,59.9064,279.594,196.252,955.99,0,7.07477,-56.9224,262.957,173.498,1458.68,0
0.33,-2.33491,59.9272,278.848,195.618,955.209,0,7.4512,-56.9077,262.881,173.212,1457.67,0
0.335,-1.72278,60.1051,278.545,195.35,955.389,0,7.70394,-56.8274,261.495,172.971,1458.27,0
0.34,-2.09363,59.7748,281.043,194.487,954.79,0,7.83737,-56.6514,261.835,172.36,1458.52,0
0.345,-2.08404,59.48,280.224,194.224,954.999,0,7.67288,-56.524,262.211,172.022,1458.24,0
0.35,-1.80209,59.109,279.667,192.97,955.906,0,7.69837,-56.4738,261.558,172.334,1459.19,0
