Frame number,1853
First frame,1
Point frequency,200
Analog frequency,1000

Time,Moment.Mx2,Moment.My2,Moment.Mz2,Moment.Mx3,Moment.My3,Moment.Mz3
s,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm
0,-22159.9,-9339.06,1079.38,20955.3,-3899.38,948.042
0.001,-22425,-9373.62,1020.97,20815.5,-3957.35,947.513
0.002,-22401.2,-9368.27,1027.99,20803.2,-3930.05,940.69
0.003,-22407.9,-9352.86,1059.17,20858.2,-3803.88,901.255
0.004,-22300.4,-9378.55,1053.54,20838.5,-4005.28,933.193
0.005,-22253.8,-9294.5,984.149,20637.9,-3945.98,872.867
0.006,-22078.2,-9401.95,1119.96,20865.5,-3857.56,920.198
0.007,-22346.5,-9271.2,1071.92,20724.8,-3896.02,879.489
0.008,-22078,-9507.86,1005.97,20792,-3823.02,978.927
0.009,-22238.5,-9319.62,1070.95,20836.4,-3788.86,923.252
0.01,-22225.1,-9364.94,1064.66,20900.6,-3878,971.676
0.011,-22128.1,-9499.18,1084.91,20907,-3785.2,973.481
0.012,-22250.7,-9420.91,980.688,20798.7,-3930.76,871.638
0.013,-22200.8,-9191.26,1040.24,20842,-3785.39,797.479
0.014,-22412.2,-9198.33,1120.48,20674.6,-3917.56,888.008
0.015,-22229.6,-9411.47,1105.64,20670.8,-3930.33,938.559
0.016,-22340.2,-9235.14,1086.6,20848.5,-3773.47,886.388
0.017,-22304.3,-9315.91,1088.68,20896.3,-3928.91,873.578
0.018,-22348.4,-9193.58,1146.65,20735.1,-4138.63,945.227
0.019,-22510.9,-9269.43,1074.59,20745.1,-3938.29,862.216
0.02,-22167.5,-9332.75,1016.12,20778,-3852.14,899.31
0.021,-22169,-9357.63,1061.97,20831.7,-3911.76,916.924
0.022,-22235.1,-9219.47,1060.3,21004.4,-3731.77,944.392
0.023,-22282.5,-9196.46,1011.03,20758.1,-3830.18,900.476
0.024,-22358.4,-9208.32,1100.54,21019.3,-3944.22,801.922
0.025,-22305,-9289.5,1074.76,20761.8,-3806.97,998.269
0.026,-22132.4,-9292.69,1090.53,20661.8,-3869.96,947.203
0.027,-22187.8,-9337.32,1143.78,20669.9,-4007.91,938.345
0.028,-22133.7,-9221.42,1050.43,20807.2,-3894.31,965.229
0.029,-22090.5,-9261.87,1011.15,20929.1,-3903.06,936.719
0.03,-22371,-9352.34,1022.6,20896.4,-3884.61,899.772
0.031,-22176.4,-9070.77,1032.45,20774.7,-3957.49,943.969
0.032,-22053.1,-9337.73,1085.61,20744.4,-4082.44,935.985
0.033,-22246.4,-9227.15,1122.44,20579.7,-3757.9,967.971
0.034,-22352.4,-9185.1,1101.79,20481.6,-3898.87,882.457
0.035,-22178.7,-9355.36,1084.66,20786.3,-3965.62,921.327
0.036,-22245.2,-9227.18,1131.48,20674,-3865.97,978.109
0.037,-22355.1,-9280.48,1151.7,20940.5,-3856.16,1006.2
0.038,-22108.2,-9171.9,1106.39,20778.9,-3770.95,943.143
0.039,-22105.5,-9106.75,1086.28,20906.7,-3742.83,987.226
0.04,-22143.1,-9220.71,1067.65,20545.9,-3896.04,905.789
0.041,-22330.6,-9152.64,1104.55,20672,-3861.54,966.875
0.042,-22225.6,-9157.25,1099.71,20734.5,-3991.17,946.244
0.043,-22398,-9144.95,1131.52,20913,-3953.52,914.6
0.044,-22069.3,-9131.71,1100.86,20758.6,-3912.36,865.181
0.045,-22064.8,-9152.79,1154.04,20717,-3770.21,909.707
0.046,-22565.9,-9001.47,1196.27,20914.1,-3808.49,897.458
0.047,-22320.1,-9162.92,1147.62,20826.1,-3931.16,949.653
0.048,-22366.6,-9214.03,1144.51,20775,-3913.1,1044.11
0.049,-22363.9,-9226.81,1014.77,20791.5,-3737.5,953.462
0.05,-22144.1,-9032.43,1060.75,20641.3,-3864.53,872.957
0.051,-22240.9,-9131.57,1080.15,20713,-3825.26,803.483
0.052,-22160.2,-9038.06,1106.96,20734.8,-3823.88,924.828
0.053,-22188.5,-9162.13,1096.65,20564.7,-3784.25,896.767
0.054,-22246.1,-9312.7,1047.76,20569.4,-3717.66,902.232
0.055,-22377.1,-9123,1079.63,20516.7,-3742.23,857.598
0.056,-22260.8,-9153.67,1095.01,20593.7,-3787.05,888.011
0.057,-22429.6,-9116.56,1039.27,20980.8,-3778.73,934.438
0.058,-22284,-9117.21,1109.59,20846.8,-3823.8,876.157
0.059,-22312.7,-9017.03,1114.52,20427.7,-3642.95,904.357
0.06,-22176,-9128.31,1153.13,20762.6,-3619.52,924.155
0.061,-22391.5,-9005.5,1206.04,20513.2,-3568.82,883.727
0.062,-22067.1,-9045.94,1178.82,20525.3,-3794.14,841.209
0.063,-22180.9,-9098.98,1142.71,20721.1,-3690.91,869.864
0.064,-22175.5,-9153.75,1282.71,20647.3,-3603.19,853.719
0.065,-22196.8,-8933.79,1127.48,20615.4,-3896.38,922.651
0.066,-22114.8,-8870.82,1073.68,20667.7,-3618.12,902.725
0.067,-22127.6,-9100.42,1148.93,20589.9,-3621.77,928.127
0.068,-22389.2,-9194.86,1163.72,20388.7,-3415.42,825.514
0.069,-22272.1,-9023.77,1104.81,20572.1,-3505.39,830.349
0.07,-22068.9,-8873.67,1108.66,20704.7,-3515.19,787.268
0.071,-22080.4,-9031.17,1181.55,20803.7,-3590.9,816.432
0.072,-22388.3,-9130.48,1119.19,20516.7,-3584.54,831.396
0.073,-22240.3,-8883.61,1106.09,20591.5,-3571.37,882.472
0.074,-22381,-8955.2,1173.99,20460.1,-3501.26,899.78
0.075,-22494.1,-9128.29,1179.17,20517.5,-3528.56,815.161
0.076,-22507.6,-9042.82,1199.73,20756.1,-3535.8,802.672
0.077,-22370.1,-9046.13,1168.45,20567,-3523.05,815.801
0.078,-22228.4,-9047.54,1201.61,20596.4,-3492.89,799.939
0.079,-22006.3,-9051.78,1166.7,20430.1,-3753.86,805.226
0.08,-22238.9,-8955.31,1201.15,20428.6,-3497.15,836.032
0.081,-22174.3,-8960.97,1209.68,20674.8,-3498.1,813.601
0.082,-22160.6,-8938.15,1070.38,20674.6,-3418.07,813.425
0.083,-22123.8,-9083.21,1231.15,20698.8,-3522.19,868
0.084,-22232.4,-8902.33,1304.72,20754.1,-3442.24,825.276
0.085,-22317.6,-8902.32,1189.27,20436.3,-3543.8,795.725
0.086,-22290,-9064.24,1179.47,20539.8,-3543.35,934.498
0.087,-22302.1,-9035.51,1204.48,20411,-3515.28,870.301
0.088,-22380.3,-8969.49,1250.36,20453.8,-3401.53,917.136
0.089,-22389,-8910.84,1194.73,20544.6,-3325.49,836.54
0.09,-22016.4,-8983.49,1147.61,20386.1,-3273.05,831.715
0.091,-22243.9,-9223.06,1238.69,20364.9,-3354.28,888.182
0.092,-22253.2,-8906.36,1203.35,20513.5,-3491.96,916.48
0.093,-22138.5,-8711.83,1159.96,20434.6,-3297.01,841.797
0.094,-22177.8,-8920.44,1156.43,20194.5,-3470.78,856.503
0.095,-22343,-9112.66,1149.22,20280.4,-3395.12,838.492
0.096,-22180,-9090.22,1176.67,20591.2,-3276.69,826.353
0.097,-22172.1,-9092.63,1189.04,20492.9,-3431.8,782.94
0.098,-22115.8,-8944.83,1235.24,20410.4,-3399.16,799.98
0.099,-22097.4,-9015.39,1182.43,20204.2,-3471.46,792.675
0.1,-22273.6,-8941.52,1131.32,20343.1,-3377.52,789.66
0.101,-22428.6,-8997.66,1157.11,20312.1,-3374.11,893.633
0.102,-22174.5,-9033.37,1167.64,20303.9,-3350.4,795.551
0.103,-22163.8,-9025.12,1206.88,20438.5,-3347.04,895.717
0.104,-22214.8,-8948.48,1193.77,20256.4,-3422.36,988.128
0.105,-22068.3,-8914.88,1202.58,20250.7,-3310.7,878.387
0.106,-22046.1,-8941.25,1232.87,20441.1,-3293.7,862.847
0.107,-22378.4,-9035.64,1174.37,20338.8,-3292.04,733.239
0.108,-22199.7,-9059.42,1181.08,20275.5,-3336.42,862.243
0.109,-22370,-8999.99,1259.59,20480.7,-3354,792.598
0.11,-22148.9,-8975.29,1165.83,20324.4,-3217.38,782.7
0.111,-22269.6,-8725.11,1128.64,20295.7,-3265.81,811.629
0.112,-22468.4,-8745.96,1216.44,20445.9,-3416.95,878.231
0.113,-22179.7,-8950.51,1166.92,20182.3,-3416.05,834.806
0.114,-22053.2,-8967.32,1137.11,20224.7,-3570.43,908.119
0.115,-22232.6,-8983.4,1182.77,20447.9,-3414.57,877.464
0.116,-22242,-8873.72,1131.11,20593.5,-3451.26,788.346
0.117,-22291.1,-8938.38,1169.64,20098.6,-3438.21,795.004
0.118,-22270.6,-9064.48,1206.5,20281.4,-3158.13,963.301
0.119,-22035.9,-9115.98,1137.81,20490.3,-3190.51,910.397
0.12,-22149.5,-8977.85,1270.79,20185.3,-3166.54,898.538
0.121,-22168.6,-8977.29,1229.33,20225.1,-3410.62,827.093
0.122,-22152.2,-8949.62,1188.32,20137.8,-3384.96,894.63
0.123,-22342.9,-8979.38,1313.56,19974.6,-3289.66,895.548
0.124,-22232.9,-8950.95,1226.21,20196.3,-3129.57,911.497
0.125,-21991,-9060.29,1146.28,20226.4,-3133.27,895.221
0.126,-22116.8,-8815.68,1159.75,20216.8,-3119.26,919.032
0.127,-22292,-8899.5,1167.83,20159,-3328.82,943.19
0.128,-22368.4,-8967.27,1212.14,20087.9,-3190.4,916.244
0.129,-22490.3,-8749.09,1221.14,20038.1,-3167.54,916.333
0.13,-22266.2,-8948.02,1219.01,19965.4,-3141.77,840.068
0.131,-22178.9,-9095.66,1253.16,20252.6,-3093.33,853.097
0.132,-22476.5,-8998.21,1220.3,20305,-3408.39,841.427
0.133,-22204.5,-8913.25,1260.83,20265.2,-3242.36,882.563
0.134,-22297.3,-8931.21,1182.41,20181.3,-3221.46,928.372
0.135,-22216.6,-8908.61,1207.17,19957.2,-3295.66,907.083
0.136,-22411.7,-8912.65,1195.32,20199.1,-3338.73,882.805
0.137,-22265.4,-9139.91,1205.56,20311.2,-3278.25,920.773
0.138,-22079,-9104.86,1198.88,20155.6,-3221.02,870.142
0.139,-22359.3,-8970.51,1297.71,20245.1,-3235.34,859.046
0.14,-22110.3,-9101.06,1245.85,20077.3,-3309.23,968.133
0.141,-22274.3,-9041.25,1230.23,20094.6,-3265.03,879.271
0.142,-22274.1,-8945.31,1159.57,19973.8,-3312.65,898.304
0.143,-22247.6,-9140.13,1170.54,20266.9,-3090.12,816.271
0.144,-21990.2,-8971.15,1227.76,20198,-3082.66,809.38
0.145,-22151,-8851.76,1215.16,20019,-3066.16,871.272
0.146,-22278.5,-8806.75,1158.83,19800.6,-3275.22,840.578
0.147,-22255.8,-8932.01,1172.62,20067.5,-3197.68,868.499
0.148,-22207.5,-8907.94,1247.43,20174.9,-3261.24,920.751
0.149,-22290.5,-8826.87,1249.32,19882,-3220.09,857.456
0.15,-22133.1,-8864.5,1190.76,20049.1,-3263.67,851.419
0.151,-22252.7,-9013.16,1173.12,19967.4,-3038.84,829.72
0.152,-22154.6,-8942.85,1155.45,19951,-3043.11,793.557
0.153,-22320.9,-8949.27,1152.69,20131.6,-3034.39,849.59
0.154,-22493.5,-8848.98,1224.09,19886,-3035.7,809.796
0.155,-22355.9,-8954.79,1306.37,19778.1,-3128.34,844.929
0.156,-22269.7,-8906.57,1279.45,20239.7,-3049.46,761.733
0.157,-22259.3,-9089.74,1218.74,20020.2,-3067.75,779.646
0.158,-22134.7,-8866.82,1243.34,20167.4,-2886.01,854.791
0.159,-22206.2,-9016.29,1162.27,20106.9,-3046.59,734.584
0.16,-22119.1,-8813.31,1176.64,20189.4,-3090.12,716.243
0.161,-21970.3,-8961.15,1185.23,19962.6,-3068.27,787.664
0.162,-22168.9,-8901.33,1248.33,20141.1,-3229.85,819.216
0.163,-21997.8,-8936.2,1334.77,20194,-3199.78,814.507
0.164,-22184.8,-8994.79,1192.71,20153.9,-3019.02,802.312
0.165,-22228.8,-8790.6,1189.47,19846.8,-3071.35,814.602
0.166,-22204.2,-8918.39,1174,19899.7,-3130.9,774.3
0.167,-22199.4,-8790.91,1178.61,19985.6,-2969.04,724.476
0.168,-22340.8,-9042.39,1273.2,20025.8,-3075.08,725.754
0.169,-22387.2,-8871.37,1228.2,20138.7,-2769.69,829.316
0.17,-22414.3,-8737.1,1182.99,19774.6,-2962.02,846.307
0.171,-22248.3,-9052.73,1305.93,19788.1,-3034.81,751.298
0.172,-22094.3,-9020.63,1269.86,20102.4,-3009.62,691.221
0.173,-21982.4,-8859.54,1214.52,19974.9,-3000.87,719.436
0.174,-22250.7,-8902.74,1169.1,20149.7,-3242.37,697.999
0.175,-22141.5,-8883.51,1228.82,20065.2,-3193.3,772.008
0.176,-22270.5,-8823.18,1228.6,20024.6,-3122.26,821.059
0.177,-22229,-8821.49,1188.33,19913.1,-3148.35,795.168
0.178,-22318.2,-8902.7,1317.6,20128,-3066.82,737.471
0.179,-22422.6,-9060.58,1191.11,19946,-3122.6,707.448
0.18,-22026.1,-8949.96,1288.23,19789,-3247.76,729.108
0.181,-22210.9,-8911.82,1334.13,20112,-3102.65,752.062
0.182,-22157.8,-8793.94,1282.49,20099.9,-2780.34,778.503
0.183,-22084.6,-9008.27,1223.05,20139.4,-2992.15,746.991
0.184,-22299,-9046.91,1207.97,20206.2,-3012.7,767.685
0.185,-22198.1,-8801.42,1260.46,20186.1,-2818.62,780.786
0.186,-22183.2,-8912.03,1173.79,19973.2,-3047.77,761.319
0.187,-22161.4,-8938.55,1180.95,20208.4,-2742.14,755.768
0.188,-22020.2,-8983.65,1300.7,20214.2,-2983.24,814.737
0.189,-22172.4,-8889.38,1312.42,20259,-3011.81,775.973
0.19,-22407,-8839.55,1228.46,20186.2,-3008.66,732.361
0.191,-22295.2,-8922.56,1244.72,19947.7,-3045.6,691.702
0.192,-22511.8,-8973.86,1234.66,20070.6,-2985.05,804.741
0.193,-22336.9,-9025.99,1201.77,20165.2,-3100.59,736.206
0.194,-22287.4,-8808.87,1225.54,19955.6,-3052.99,806.436
0.195,-22255.5,-9023.76,1149.67,20011.5,-3133.17,818.106
0.196,-22273.3,-8889.64,1275.01,20089.8,-3077.41,791.723
0.197,-22159.3,-8914.67,1261.59,20069.1,-3040.41,752.314
0.198,-22350.4,-8857.76,1247.13,20118.7,-3112.11,806.87
0.199,-22367.9,-8832.24,1193.27,20103.7,-3137.86,826.148
0.2,-22249.3,-8926.15,1281.5,20390.5,-3114.01,748.902
0.201,-22016.5,-8979.12,1211.43,20295.3,-2957.76,762.579
0.202,-22189.6,-8876.11,1208.37,20484.4,-3231.69,663.614
0.203,-22219.8,-8928.21,1214.63,20313.2,-3030.26,778.315
0.204,-22116.2,-8958.43,1305.62,20175.9,-3107.18,848.723
0.205,-22263.2,-8784.66,1184.57,20048.9,-3321.32,784.413
0.206,-22346.4,-8862.82,1221.72,20067.4,-3136.38,814.637
0.207,-22211.7,-9041.05,1191.74,20129.9,-3111.36,867.411
0.208,-22243.8,-8820.44,1186.26,20134.8,-3134.89,813.43
0.209,-22249.8,-8904.98,1236.25,20348.5,-2988.78,842.272
0.21,-22112.9,-8698.97,1197.81,20092.6,-3071.59,751.486
0.211,-22262,-8869.6,1233.15,20219.9,-2897.16,793.906
0.212,-22338.9,-8855.56,1265.82,20125.3,-3176.46,835.213
0.213,-22251.3,-8963.72,1284.67,20057,-3150.13,832.086
0.214,-22372,-8843.35,1230.78,20434,-3142.22,855.76
0.215,-22290.7,-8843.31,1246.07,20350.1,-3099.35,750.779
0.216,-22341.9,-9020.9,1251.1,20360.9,-3087.59,789.488
0.217,-22577.3,-8826.15,1181.21,20431.5,-3248.54,829.982
0.218,-22248.2,-8937.12,1155.27,20541.6,-3326.13,771.123
0.219,-22132.9,-8846.16,1298.04,20408.1,-3392.5,722.522
0.22,-22344.2,-8813.05,1225.59,20390.1,-3183.92,725.706
0.221,-22140.3,-8873.93,1230.41,20142.5,-3378.36,846.988
0.222,-22175.7,-8849.62,1235.18,20170.1,-3326.31,895.035
0.223,-22440.7,-8999.07,1182.98,20304.1,-3093.01,864.701
0.224,-22431.5,-8977.59,1207.95,20330.2,-3220.48,774.147
0.225,-22353.6,-8893.37,1189.73,20280.5,-3036.89,828.157
0.226,-22400.4,-8849.27,1175.32,20447.9,-3193.41,860.42
0.227,-22391.6,-8873.77,1250.51,20389.3,-3302.37,763.083
0.228,-22380.7,-8867.94,1210.39,20372.1,-3244.96,764.367
0.229,-22271.5,-9051.04,1304.22,20452.5,-3251.15,793.426
0.23,-22331.9,-9170.77,1247.7,20190.6,-2991.11,943.004
0.231,-22338,-8981.99,1173.76,20371.4,-3215.2,845.02
0.232,-22343.8,-8891.67,1193.44,20463.3,-3157.72,788.289
0.233,-22325,-8940.13,1350.58,20212.9,-3073.73,836.875
0.234,-22210,-9060.2,1198.82,20417.4,-3274.11,815.088
0.235,-22172.9,-8985.22,1223.37,20041,-3375.51,786.613
0.236,-22357.6,-8932.51,1192.09,20531.4,-3055.56,799.616
0.237,-22580.2,-8948.28,1186.64,20431.9,-3208.78,792.543
0.238,-22052.2,-8885.84,1173.82,20541,-3315.05,832.142
0.239,-22399.3,-8957.41,1232.97,20174.5,-3135.99,768.207
0.24,-22426,-8933.34,1192.63,20536.9,-3269.81,776.673
0.241,-22408.7,-8969.62,1280.96,20639.1,-3148.58,763.085
0.242,-22466,-8941.25,1211.45,20540.9,-3276.23,774.062
0.243,-22339.2,-8811.78,1226.23,20427.7,-3196.85,830.491
0.244,-22323.5,-8874.4,1220.77,20522.4,-3088.25,785.588
0.245,-22278.2,-8894.28,1190.7,20529.9,-3196.26,791.719
0.246,-22213.5,-9043.84,1188.11,20400.8,-3101.13,720.368
0.247,-22135.4,-8870.21,1242.01,20458.6,-3140.79,700.058
0.248,-22344.2,-8797.04,1224.85,20194.3,-3206.16,760.53
0.249,-22458.8,-8867.97,1206.85,20160.9,-3180.34,722.671
0.25,-22463.9,-8756.86,1193.11,20146.2,-3179.22,705.633
0.251,-22106.8,-8951.35,1193.46,20272.7,-3222.65,694.611
0.252,-22197.9,-8834.57,1201.35,20471.9,-3036.41,734.541
0.253,-22292.7,-9029.32,1260.01,20176.7,-3173.55,675.55
0.254,-22298.8,-9011.09,1328.09,20251.8,-3038.77,722.589
0.255,-22424.6,-8912.68,1232.41,20138.3,-2997.78,799.694
0.256,-22347.2,-9016.89,1263.29,20330.1,-3090.19,757.836
0.257,-22315,-8915.2,1259.93,20292.1,-3031.92,731.914
0.258,-22260.3,-8921.79,1161.06,20212.7,-3110.87,749.112
0.259,-22220.9,-8902.55,1178.83,20421.1,-3035.98,672.384
0.26,-22423.6,-8975.43,1200.45,20175.2,-3129.06,793.937
0.261,-22384.9,-8973.53,1250.1,20260.5,-3123.3,739.326
0.262,-22188.6,-8829.01,1284.27,20293.8,-3217.04,787.445
0.263,-22438,-8962.73,1239.3,20174,-3099.54,698.262
0.264,-22309.1,-9025.13,1300.92,20173,-3081.12,757.419
0.265,-22537.6,-8962.63,1241.51,20045.3,-3064.43,714.166
0.266,-22294.3,-9164.05,1231.64,20466.2,-2952.02,660.756
0.267,-22366.1,-9008.25,1243.7,20201.7,-3082.75,716.342
0.268,-22513.4,-8987.29,1254.38,20447.1,-3032.53,659.269
0.269,-22207,-8941.57,1309.66,20270.1,-3057.79,715.931
0.27,-22423.6,-9067.33,1292.4,20079,-2936.01,775.646
0.271,-22375.2,-8946.66,1267.24,19989.4,-2986.58,810.901
0.272,-22185.4,-8815.77,1215.24,20471.7,-2927.75,724.66
0.273,-22316,-9043.04,1245.04,20421.8,-3122.74,711.862
0.274,-22485.6,-8917.19,1243.27,20081.6,-3242.61,757.198
0.275,-22440.6,-9110.46,1243.99,20176.7,-2949.4,820.051
0.276,-22265.5,-8989.23,1239.65,20052.2,-3080.37,816.057
0.277,-22245.7,-9053.12,1213.76,20297.6,-2826.59,859.85
0.278,-22309,-9058.49,1224.77,20227.5,-2911.28,729.936
0.279,-22200.9,-9088.29,1221.5,20007.4,-3019.6,745.793
0.28,-22363.6,-8884.1,1280.02,20299,-3225.85,824.482
0.281,-22087.6,-8990.29,1284.38,20260.7,-2966.27,724.49
0.282,-22221.7,-9070.32,1227.14,20230.5,-3129.93,711.925
0.283,-22251.3,-8906.55,1241.19,20251.7,-2928.12,758.555
0.284,-22433.4,-8991.61,1306.83,20385.9,-3085.28,805.292
0.285,-22263.6,-8883.85,1199.44,20236.1,-2906.52,736.04
0.286,-22162.6,-8999.92,1248.9,20265.9,-2930.23,785.181
0.287,-22479.9,-8982.64,1263.72,20237.9,-2992.35,778.094
0.288,-22504.5,-9126.21,1197.03,20175.1,-3277.41,750.322
0.289,-22430.9,-9136.98,1219.86,20053.4,-3156.91,796.699
0.29,-22428.8,-8916.8,1186.49,20183,-3069.27,772.618
0.291,-22500.4,-8888.12,1240.61,19806.2,-3148,826.309
0.292,-22425.3,-8962.12,1241.02,19948.5,-3099.26,853.52
0.293,-22318.5,-8991.28,1228.99,20171.8,-3070.47,796.983
0.294,-22353.5,-9159.82,1247.55,20107,-3024.33,764.822
0.295,-22184.9,-9077.28,1259.42,20352.8,-2954.25,755.467
0.296,-22254.4,-9054.84,1249.3,20340.4,-2995.98,721.821
0.297,-22474.3,-9112.17,1261.53,20145.1,-3041.98,815.578
0.298,-22252.7,-9047.99,1182.47,20104.5,-3186.68,774.797
0.299,-22391,-9013.67,1236.87,20063.8,-3145.01,734.261
0.3,-22218.1,-9027.39,1284.97,20137,-3035.05,780.294
0.301,-22245,-9125.91,1225.72,20136.7,-3089.22,751.241
0.302,-22601.9,-9135.42,1236.1,20089.7,-3207.09,782.304
0.303,-22232.4,-9184.41,1280.43,20103.9,-3082.73,783.658
0.304,-22329.5,-9085.46,1199.75,20204.2,-3141.48,775.852
0.305,-22288.7,-8874.86,1242.38,20262.6,-3141.59,743.204
0.306,-22111.5,-8997.51,1243.97,20268.5,-3131.1,753.633
0.307,-22225.1,-8791.55,1242.04,20331.6,-3092.67,812.816
0.308,-22473.1,-8967.68,1241.19,20223.3,-3076.13,761.578
0.309,-22205.7,-9024.85,1233.88,20079.6,-2957.34,749.29
0.31,-22074.1,-8912.87,1185.43,20253.3,-3311.09,770.585
0.311,-22217.7,-8900.82,1233.37,20191.4,-3161.28,834.744
0.312,-22447.8,-8942.02,1193.84,20079,-3233.6,803.841
0.313,-22209,-8845.5,1296.7,20031.6,-3074.1,717.813
0.314,-22205.2,-8881.49,1236.95,20197.5,-3135.08,773.606
0.315,-22400.7,-8906.67,1292.37,20275,-2981.56,718.115
0.316,-22064,-8881.48,1195.62,20189.5,-3218.75,698.495
0.317,-22293.2,-8915.86,1206.41,20161.7,-3138.63,849.624
0.318,-22161.5,-8964.69,1203.62,20197.7,-3114.39,693.824
0.319,-22265.8,-9020.22,1275.9,20161.8,-3213.27,720.589
0.32,-21997.6,-9121.15,1267.46,20300.3,-3239.62,691.032
0.321,-22204.3,-8964.54,1208.77,20333.7,-3097.83,738.164
0.322,-22137.7,-8990.69,1224.38,20205.8,-3198.96,813.268
0.323,-22225.2,-8963.31,1309.84,20324.7,-3158.64,769.831
0.324,-21978.9,-8959.89,1211.83,20386.4,-3104.29,792.855
0.325,-21890,-8943.1,1242.33,20283.9,-3051.59,724.138
0.326,-22255.1,-8869.29,1237.11,20193.3,-3095.19,713.077
0.327,-22177.1,-9006.41,1223.2,20460,-3111.77,758.088
0.328,-22287.4,-8916.55,1298.97,20234,-3216.13,827.511
0.329,-22130.7,-9042.88,1231.29,20364.9,-3116.11,763.803
0.33,-22009.6,-9073.49,1166.97,20374.4,-3153.91,774.755
0.331,-22078.9,-8990.25,1213.77,20356,-3109.41,737.519
