Frame number,1756
First frame,1
Point frequency,200
Analog frequency,1000

Time,GRW1.F,,,GRW1,,,GRW2.F,,,GRW2,,
s,N,N,N,mm,mm,mm,N,N,N,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.28,20.4213,66.2431,279.337,165.287,951.428,0,1.23356,-64.0633,298.037,177.543,1445.88,0
0.285,20.2387,67.3872,278.581,165.416,952.237,0,2.25856,-64.4586,303.568,179.089,1444.47,0
0.29,19.7385,67.935,279.444,166.556,951.545,0,3.27704,-64.6792,311.45,180.675,1444.52,0
0.295,19.1572,67.7593,278.494,167.505,952.637,0,4.42747,-64.4116,314.23,181.59,1443.68,0
0.3,18.2893,67.5709,275.68,168.348,952.822,0,5.32134,-65.1385,318.794,183.157,1443.24,0
0.305,17.3144,67.2803,275.344,170.144,953.404,0,5.1007,-65.3629,322.03,184.052,1442.96,0
0.31,16.0845,66.2056,275.373,171.488,953.439,0,5.08269,-65.7556,323.294,185.778,1442.69,0
0.315,14.7344,65.5792,273.086,172.911,954.649,0,4.91667,-66.4482,324.889,187.076,1441.6,0
0.32,14.0292,64.1553,273.021,174.62,955.147,0,4.39717,-67.2799,326.724,188.373,1441.63,0
0.325,13.1915,63.4365,274.794,177.428,956.294,0,4.19016,-67.4478,325.253,190.166,1440.65,0
0.33,11.5769,61.9487,275.338,180.174,958.564,0,3.65062,-67.3125,325.384,190.97,1440.28,0
0.335,10.1742,60.7375,277.495,182.902,959.234,0,3.0501,-68.0005,325.103,192.953,1440.04,0
0.34,8.99428,59.907,287.65,187.627,959.856,0,2.74901,-67.8414,324.364,193.892,1439.25,0
0.345,7.59031,59.1749,295.161,190.691,962.698,0,2.04487,-67.5053,324.5,195.315,1439.09,0
0.35,6.86217,58.7224,305.569,193.904,964.996,0,1.48834,-67.3162,322.4,196.868,1437.84,0
0.355,6.46724,58.3201,312.783,197.202,965.496,0,1.10656,-65.9355,318.834,198.285,1437.73,0
0.36,5.96313,58.5001,317.969,199.319,966.1,0,0.0428492,-65.0171,316.307,199.581,1436.89,0
0.365,4.79321,58.2639,319.72,201.342,967.41,0,-1.38147,-63.6433,312.331,201.352,1435.58,0
0.37,3.8999,58.1327,320.426,203.007,967.516,0,-2.20176,-62.2617,307.368,203.456,1436.49,0
0.375,2.87113,57.9926,318.997,203.988,968.165,0,-3.61415,-60.1944,302.508,203.93,1435.12,0
0.38,2.19225,57.9354,313.371,205.159,969.069,0,-4.5261,-59.0626,298.213,205.198,1435.27,0
0.385,0.949444,58.2313,309.563,205.418,969.221,0,-5.75253,-57.4761,292.798,206.093,1434.86,0
0.39,-0.0912282,58.0872,304.632,206.427,969.678,0,-6.68065,-56.4007,290.123,206.874,1434.15,0
0.395,-1.64284,58.007,300.899,207.722,968.779,0,-7.57259,-55.9402,288.581,207.933,1433.52,0
0.4,-2.28656,58.058,297.788,207.769,969.485,0,-8.39697,-55.6409,285.05,209.08,1433.24,0
0.405,-3.19192,56.9194,292.996,209.192,970.641,0,-8.75062,-54.881,284.383,210.299,1433.71,0
0.41,-4.79745,56.6017,291.907,210.386,970.383,0,-9.00936,-55.2626,284.459,211.441,1432.39,0
0.415,-5.03689,56.6186,290.097,211.78,971.823,0,-9.71323,-55.3768,283.396,212.196,1432.01,0
0.42,-5.60641,55.9702,288.666,212.973,972.037,0,-10.124,-55.4227,284.945,213.062,1432.5,0
0.425,-6.63488,55.8447,288.488,213.834,971.701,0,-10.8088,-55.3676,286.578,214.22,1431.15,0
0.43,-7.4496,55.1056,288.922,214.539,972.74,0,-10.9591,-55.4404,288.399,215.79,1431.67,0
0.435,-7.64483,54.5806,287.952,215.715,972.159,0,-11.0608,-55.8026,289.997,217.104,1430.45,0
0.44,-8.10882,54.1853,287.802,216.431,972.932,0,-11.6799,-56.1909,291.744,217.571,1430.67,0
0.445,-7.88123,53.7241,287.881,216.646,973.782,0,-12.0288,-56.2769,295.056,218.869,1430.22,0
0.45,-8.22213,52.6975,287.237,216.649,974.471,0,-11.5998,-56.5133,296.141,219.017,1428.87,0
0.455,-7.92678,52.4245,287.392,217.195,973.56,0,-11.9017,-57.3969,299.805,220.831,1429.33,0
0.46,-7.94727,52.0408,288.147,217.218,973.295,0,-11.6592,-57.4721,300.499,221.823,1429.39,0
0.465,-7.52024,51.9767,286.767,217.368,974.328,0,-11.7342,-58.186,303.661,221.601,1428.66,0
0.47,-7.56021,52.1744,289.24,217.694,973.862,0,-12.1404,-58.5675,306.105,222.156,1427.93,0
0.475,-7.11473,52.6248,288.645,217.623,974.585,0,-11.2676,-59.1838,306.666,222.689,1428.19,0
0.48,-6.95293,53.095,290.12,218.069,973.375,0,-10.8864,-59.2139,307.265,223.503,1427.84,0
0.485,-6.82104,53.8215,290.391,217.615,973.466,0,-10.3024,-59.3876,307.858,223.764,1427.38,0
0.49,-6.62122,54.4743,289.552,218.038,973.252,0,-10.2358,-59.5817,308.23,224.134,1426.95,0
0.495,-6.66151,55.0133,288.454,217.421,973.693,0,-9.66352,-59.9195,308.125,223.774,1427.75,0
0.5,-6.39912,54.9353,287.768,217.786,972.844,0,-8.7611,-60.148,309.66,223.586,1428.08,0
0.505,-6.65084,55.0511,286.973,218.393,973.259,0,-8.03606,-59.7097,307.975,224.518,1427.65,0
0.51,-6.54488,55.1593,288.898,218.025,973.042,0,-7.45247,-60.0171,307.118,223.894,1427.71,0
0.515,-6.74173,54.8777,285.417,218.211,973.746,0,-6.82362,-60.08,307.951,223.581,1427.42,0
