Frame number,1450
First frame,1
Point frequency,200
Analog frequency,1000

Time,Moment.Mx2,Moment.My2,Moment.Mz2,Moment.Mx3,Moment.My3,Moment.Mz3
s,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm
0.077,-21035.9,-10114.9,382.376,21243,-4452.95,991.435
0.078,-20932.1,-10216.7,432.999,21350.1,-4546.01,1004.61
0.079,-21057.1,-10282.3,412.813,21164,-4658.8,999.795
0.08,-21141.3,-10269.1,450.081,21190.5,-4702.07,1009.53
0.081,-21189.8,-10129.3,474.383,21074.5,-4782.01,1024.89
0.082,-21120.8,-10191.1,439.309,21095.3,-4865.83,1022.97
0.083,-21000.2,-10166.4,408.196,21165.6,-4887.02,1022.85
0.084,-20973.1,-10154.6,402.172,21177.4,-4913.74,1057.88
0.085,-21065.2,-10149.9,428.857,21310.8,-4765.89,1028.85
0.086,-21163.4,-10142,459.836,21330.4,-4571.85,987.355
0.087,-21193.9,-10209.7,459.487,21086.2,-4644.75,981.692
0.088,-21063.7,-10233.8,405.336,20976.7,-4743.39,1029.73
0.089,-20960.1,-10149.6,404.02,21007.2,-4630.59,1067.16
0.09,-21086.5,-10145.7,428.981,21255.2,-4650.07,1104.16
0.091,-21229.8,-10321.3,447.444,21260.9,-4873.86,1085.92
0.092,-21308.5,-10275.7,469.246,21254.4,-4795.34,1056.56
0.093,-21268.9,-10215.2,452.542,21325.4,-4635.36,1032.85
0.094,-21356.2,-10271.6,396.369,21245.8,-4736.98,1036.03
0.095,-21407.6,-10408,426.393,21165.6,-4851.5,1111.27
0.096,-21283.1,-10357,441.057,21168.8,-4741.39,1095.35
0.097,-21253.3,-10275.4,413.59,21101.3,-4652.35,1040
0.098,-21313.2,-10264.1,428.821,21270.9,-4858.07,1066.31
0.099,-21323.6,-10258.5,423.9,21283.3,-4835.29,1060.95
0.1,-21430.1,-10232.5,425.285,21324.4,-4662.05,1033.68
0.101,-21436.1,-10210.6,424.996,21295.4,-4849.04,1036.73
0.102,-21304.3,-10305.1,417.511,21040.9,-4850.27,1016.84
0.103,-21276.7,-10351,457.26,21212.7,-4859.59,964.872
0.104,-21190,-10294.2,454.964,21393.6,-4824.46,982.575
0.105,-21185,-10358.6,450.272,21348.1,-4746.25,1036.87
0.106,-21305.6,-10488,392.147,21285.2,-4677.72,1044.18
0.107,-21309.5,-10291.9,366.945,21328.1,-4612.35,1046.17
0.108,-21250.8,-10322.4,395.727,21337.2,-4744.83,1079.87
0.109,-21216.9,-10316.7,441.937,21325,-4854.97,1073.42
0.11,-21337.8,-10332.1,445.435,21323.6,-4813.9,1027.65
0.111,-21487.4,-10274.1,416.619,21223.9,-4711.42,1012.57
0.112,-21250.3,-10248.7,426.291,21370.6,-4778.24,1020.96
0.113,-21170.7,-10345,425.801,21514.9,-4778.22,951.956
0.114,-21377.1,-10202.6,436.46,21460.4,-4798.29,984.379
0.115,-21393.7,-10216.3,402.673,21489.3,-4822,1024.83
0.116,-21238,-10339.9,408.055,21455.2,-4781.01,1027.53
0.117,-21145.1,-10301.9,410.149,21548.3,-4766.04,966.16
0.118,-21179,-10308.8,470.749,21390.4,-4750.02,975.46
0.119,-21322.7,-10369.7,453.143,21279.5,-4748.75,986.301
0.12,-21420.9,-10304.5,411.28,21513.5,-4798.43,991.438
0.121,-21258.8,-10312.3,392.514,21416.2,-4852.92,968.335
0.122,-21156.4,-10413.8,390.815,21275.8,-4813.94,962.947
0.123,-21324.3,-10291.2,424.46,21230.4,-4731.37,1012.96
0.124,-21522.3,-10284.5,417.784,21435.2,-4799.19,987.477
0.125,-21543.7,-10370.6,438.945,21481.8,-4707.87,972.009
0.126,-21394.4,-10326.8,438.49,21353.8,-4574.37,972.558
0.127,-21338.5,-10285.3,455.487,21356.8,-4719.27,946.4
0.128,-21371.1,-10338.1,450.024,21261.6,-4807.24,991.324
0.129,-21311.3,-10293.1,394.203,21212.3,-4738.06,1016.12
0.13,-21405.3,-10256.2,367.928,21124.6,-4682.86,975.391
0.131,-21508.3,-10228.3,424.825,21272.2,-4747.25,915.708
0.132,-21469.3,-10319.6,432.522,21519.8,-4748.08,918.044
0.133,-21401.2,-10362.5,479.06,21554.8,-4661.42,941.071
0.134,-21477.7,-10285.7,514.911,21392.8,-4614.26,938.516
0.135,-21466.3,-10322,429.567,21362.6,-4515.45,958.577
0.136,-21420.8,-10382.4,423.565,21384.1,-4616.29,951.526
0.137,-21322.5,-10416.2,435.19,21266.6,-4669.74,905.856
0.138,-21293.3,-10448.3,433.687,21285.7,-4635.81,909.271
0.139,-21509.9,-10383.6,426.379,21276.7,-4669.55,940.817
0.14,-21599.5,-10366.1,500.759,21324.4,-4695.21,970.218
0.141,-21512.6,-10347.4,488.08,21351.5,-4749.14,1007.32
0.142,-21459.9,-10330.4,480.634,21348.9,-4727.9,945.767
0.143,-21388.7,-10433.7,482.545,21347.6,-4634.94,926.134
0.144,-21412.6,-10460.4,415.942,21359.6,-4563.95,960.304
0.145,-21484.8,-10453.2,456.138,21358.9,-4583.73,941.459
